"gene","logFC","FDR","time","add_variable","data_name"
"SCO0043",0.033,0,32,"DargR.M145","argR_2018"
"SCO0043",1.552,0,42,"DargR.M145","argR_2018"
"SCO0043",0.65,0,49,"DargR.M145","argR_2018"
"SCO0043",0.156,0,56,"DargR.M145","argR_2018"
"SCO0043",0.095,0,66,"DargR.M145","argR_2018"
"SCO0043",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0043",0,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0043",0.008696,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0043",0.71905,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0043",0.855517,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0053",-0.139,0,32,"DargR.M145","argR_2018"
"SCO0053",-0.465,0,42,"DargR.M145","argR_2018"
"SCO0053",-0.502,0,49,"DargR.M145","argR_2018"
"SCO0053",-0.361,0,56,"DargR.M145","argR_2018"
"SCO0053",-0.083,0,66,"DargR.M145","argR_2018"
"SCO0053",0.684814,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0053",0.002854,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0053",0.002136,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0053",0.040632,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0053",0.770634,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0056",-0.032,0,32,"DargR.M145","argR_2018"
"SCO0056",-0.067,0,42,"DargR.M145","argR_2018"
"SCO0056",-1.671,0,49,"DargR.M145","argR_2018"
"SCO0056",-0.217,0,56,"DargR.M145","argR_2018"
"SCO0056",-0.214,0,66,"DargR.M145","argR_2018"
"SCO0056",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0056",0.931947,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0056",0.004959,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0056",0.853064,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0056",0.8644,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0058",0.581,0,32,"DargR.M145","argR_2018"
"SCO0058",0.453,0,42,"DargR.M145","argR_2018"
"SCO0058",0.538,0,49,"DargR.M145","argR_2018"
"SCO0058",0.804,0,56,"DargR.M145","argR_2018"
"SCO0058",0.918,0,66,"DargR.M145","argR_2018"
"SCO0058",0.00628,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0058",0.017776,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0058",0.006606,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0058",0.000244,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0058",2.4e-05,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0064",-0.382,0,32,"DargR.M145","argR_2018"
"SCO0064",-0.552,0,42,"DargR.M145","argR_2018"
"SCO0064",-0.231,0,49,"DargR.M145","argR_2018"
"SCO0064",-0.188,0,56,"DargR.M145","argR_2018"
"SCO0064",-0.491,0,66,"DargR.M145","argR_2018"
"SCO0064",0.127237,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0064",0.006197,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0064",0.249241,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0064",0.553246,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0064",0.017771,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0065",0.016,0,32,"DargR.M145","argR_2018"
"SCO0065",-0.214,0,42,"DargR.M145","argR_2018"
"SCO0065",-0.789,0,49,"DargR.M145","argR_2018"
"SCO0065",0.154,0,56,"DargR.M145","argR_2018"
"SCO0065",0.006,0,66,"DargR.M145","argR_2018"
"SCO0065",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0065",0.496627,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0065",0.00594,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0065",0.765273,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0065",0.993225,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0097",-0.302,0,32,"DargR.M145","argR_2018"
"SCO0097",-0.496,0,42,"DargR.M145","argR_2018"
"SCO0097",-0.688,0,49,"DargR.M145","argR_2018"
"SCO0097",-0.194,0,56,"DargR.M145","argR_2018"
"SCO0097",-0.076,0,66,"DargR.M145","argR_2018"
"SCO0097",0.479228,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0097",0.049891,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0097",0.008196,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0097",0.641004,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0097",0.898175,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0119",0.823,0,32,"DargR.M145","argR_2018"
"SCO0119",0.507,0,42,"DargR.M145","argR_2018"
"SCO0119",0.133,0,49,"DargR.M145","argR_2018"
"SCO0119",-0.114,0,56,"DargR.M145","argR_2018"
"SCO0119",0.234,0,66,"DargR.M145","argR_2018"
"SCO0119",0.001099,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0119",0.021259,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0119",0.569564,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0119",0.786109,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0119",0.416685,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0121",0.498,0,32,"DargR.M145","argR_2018"
"SCO0121",1.065,0,42,"DargR.M145","argR_2018"
"SCO0121",0.331,0,49,"DargR.M145","argR_2018"
"SCO0121",0.131,0,56,"DargR.M145","argR_2018"
"SCO0121",-0.245,0,66,"DargR.M145","argR_2018"
"SCO0121",0.306791,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0121",0.001964,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0121",0.333844,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0121",0.84935,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0121",0.65087,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0125",0.47,0,32,"DargR.M145","argR_2018"
"SCO0125",0.719,0,42,"DargR.M145","argR_2018"
"SCO0125",0.379,0,49,"DargR.M145","argR_2018"
"SCO0125",0.053,0,56,"DargR.M145","argR_2018"
"SCO0125",0.028,0,66,"DargR.M145","argR_2018"
"SCO0125",0.157155,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0125",0.005845,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0125",0.136498,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0125",0.934534,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0125",0.968416,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0126",0.437,0,32,"DargR.M145","argR_2018"
"SCO0126",0.693,0,42,"DargR.M145","argR_2018"
"SCO0126",0.153,0,49,"DargR.M145","argR_2018"
"SCO0126",0.134,0,56,"DargR.M145","argR_2018"
"SCO0126",-0.12,0,66,"DargR.M145","argR_2018"
"SCO0126",0.051233,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0126",0.000514,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0126",0.441123,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0126",0.680225,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0126",0.716676,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0127",0.297,0,32,"DargR.M145","argR_2018"
"SCO0127",0.422,0,42,"DargR.M145","argR_2018"
"SCO0127",-0.052,0,49,"DargR.M145","argR_2018"
"SCO0127",0.01,0,56,"DargR.M145","argR_2018"
"SCO0127",-0.106,0,66,"DargR.M145","argR_2018"
"SCO0127",0.139827,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0127",0.008297,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0127",0.776976,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0127",0.981889,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0127",0.69255,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0131",0.164,0,32,"DargR.M145","argR_2018"
"SCO0131",-0.819,0,42,"DargR.M145","argR_2018"
"SCO0131",0.037,0,49,"DargR.M145","argR_2018"
"SCO0131",0.137,0,56,"DargR.M145","argR_2018"
"SCO0131",1.295,0,66,"DargR.M145","argR_2018"
"SCO0131",0.956479,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0131",0.028143,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0131",0.938993,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0131",0.858649,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0131",0.001,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0139",-1.576,0,32,"DargR.M145","argR_2018"
"SCO0139",-0.422,0,42,"DargR.M145","argR_2018"
"SCO0139",-0.436,0,49,"DargR.M145","argR_2018"
"SCO0139",0.192,0,56,"DargR.M145","argR_2018"
"SCO0139",-1.025,0,66,"DargR.M145","argR_2018"
"SCO0139",0.000216,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0139",0.286833,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0139",0.23569,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0139",0.784704,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0139",0.00739,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0141",0.18,0,32,"DargR.M145","argR_2018"
"SCO0141",0.788,0,42,"DargR.M145","argR_2018"
"SCO0141",-0.754,0,49,"DargR.M145","argR_2018"
"SCO0141",-1.285,0,56,"DargR.M145","argR_2018"
"SCO0141",-2.986,0,66,"DargR.M145","argR_2018"
"SCO0141",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0141",0.245844,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0141",0.236311,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0141",0.091462,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0141",3.7e-05,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0160",-0.047,0,32,"DargR.M145","argR_2018"
"SCO0160",1.346,0,42,"DargR.M145","argR_2018"
"SCO0160",1.28,0,49,"DargR.M145","argR_2018"
"SCO0160",1.377,0,56,"DargR.M145","argR_2018"
"SCO0160",1.122,0,66,"DargR.M145","argR_2018"
