"gene","logFC","FDR","add_variable","time","data_name"
"SCO5070",-2.43,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5070",-0.42,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5070",-1.35,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5071",-6.565,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5071",-3.595,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5071",-3.765,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5072",-7.485,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5072",-5.699,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5072",-4.705,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5073",-7.715,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5073",-6.62,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5073",-4.97,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5074",-7.415,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5074",-5.93,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5074",-4.415,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5075",-6.975,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5075",-4.603,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5075",-3.95,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5076",-5.715,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5076",-1.73,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5076",-2.765,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5077",-3.82,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5077",-1.413,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5077",-1.845,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5078",-6.79,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5078",-4.17,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5078",-3.85,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5079",-7.02,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5079",-4.698,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5079",-4.275,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5080",-7.405,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5080",-4.76,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5080",-4.155,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5081",-5.83,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5081",-2.632,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5081",-3.07,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5082",-2.775,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5082",-1.937,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5082",-2.08,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5083",-6.935,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5083",-6.51,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5083",-5.17,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5084",-6.8,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5084",-7.26,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5084",-6.49,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5085",-5.075,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5085",-3.912,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5085",-3.66,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5086",-5.275,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5086",-2.879,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5086",-3.195,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5087",-7.07,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5087",-4.529,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5087",-4.73,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5088",-3.42,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5088",-2.237,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5088",-4.125,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5089",-6.185,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5089",-3.439,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5089",-3.365,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5090",-8.51,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5090",-6.229,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5090",-4.925,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5091",-6.6,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5091",-3.538,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5091",-3.56,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5092",-4.507,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5092",-1.961,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5092",-1.959,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5886",-1.555,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5886",0.232,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5886",2.325,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5887",-1.775,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5887",0.458,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5887",2.11,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5889",-0.945,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5889",0.668,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5889",2.11,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5890",-1.83,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5890",0.358,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5890",2.22,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5891",-1.475,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5891",-0.045,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5891",1.935,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5892",-1.93,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5892",0.446,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5892",2.39,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5893",-1.7,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5893",0.446,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5893",2.07,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5895",-1.275,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5895",0.288,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5895",1.915,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5896",-1.545,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5896",-0.297,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5896",2.13,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5897",-1.77,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5897",0.247,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5897",2.105,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6273",-0.37,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6273",1.585,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6273",-0.065,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6275",0.04,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6275",3.081,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6275",0.6,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6276",2.64,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6276",5.746,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6276",1.2,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6277",2.375,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6277",5.716,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6277",1.22,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6278",1.815,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6278",4.547,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6278",0.995,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6279",2.525,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6279",5.43,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6279",1.18,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6280",2.4,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6280",3.813,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6280",1.675,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6281",1.23,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6281",4.712,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6281",1.815,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6282",2.065,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6282",4.156,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6282",0.805,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6283",1.595,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6283",4.85,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6283",0.81,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6284",-1.645,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6284",3.013,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6284",0.675,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6285",-1.115,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6285",2.12,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6285",0.96,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6286",1.94,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6286",3.799,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6286",1.13,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6287",1.03,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6287",1.068,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6287",0.655,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7682",2.54,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7682",3.407,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7682",6.718,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7683",3.43,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7683",3.876,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7683",7.693,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7684",0.74,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7684",2.278,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7684",3.903,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7685",0.04,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7685",2.297,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7685",4.189,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7686",2.49,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7686",3.378,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7686",6.091,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7687",2.23,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7687",3.307,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7687",5.86,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7688",3.19,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7688",3.55,0,"DdraRKvsM145",48,"draRK_scoe"
