"gene","logFC","FDR","add_variable","time","data_name"
"SCO0001",0.305969206,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0001",-0.026370988,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0001",-0.100696646,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0001",0.092305485,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0001",0.112217309,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0001",-0.005475039,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0017",0.179603489,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0017",0.042146707,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0017",-0.04036185,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0017",0.108937629,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0017",0.243647589,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0017",0.165145939,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0312",0.155270605,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0312",-0.144111727,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0312",-0.082149204,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0312",0.22598333,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0312",0.085944326,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0340",0.103051737,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0340",-0.604964448,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0340",0.148878038,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0340",-0.642803387,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0340",-0.809126031,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0361",0.269030434,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0361",0.4901408,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0361",0.594429781,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0361",-0.05363573,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0361",-0.066637331,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0399",0.025956671,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0399",-0.128648899,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0399",-0.26083097,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0399",0.085729405,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0399",-0.607548574,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0399",-0.368045864,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0400",0.140596785,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0400",0.404470368,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0400",-0.032365183,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0550",0.042869352,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0550",0.278526279,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0550",0.574644488,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0550",0.401273932,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0550",-0.018941086,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0550",0.0733437,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0566",0.142413121,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0566",-0.849216385,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0566",-0.813752227,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0566",-0.019335658,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0566",-0.002633788,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0566",-0.024304504,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0591",0.019857483,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0591",-0.702766245,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0591",-1.250373819,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0591",0.118916314,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0591",-0.419771778,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0591",-0.549273207,0,"whiHvsWT",48,"whiAH_scoe"
