"gene","logFC","FDR","add_variable","time","data_name"
"SCO1674",0.08,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1674",0.06,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1674",0.09,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1675",0.08,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1675",0.06,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1675",0.12,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1800",0.21,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1800",0.13,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1800",0.21,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO2699",0.09,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO2699",0.08,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO2699",0.14,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO2705",0.11,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO2705",0.08,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO2705",0.16,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO2716",0.09,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO2716",0.08,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO2716",0.15,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO2717",0.03,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO2717",0.03,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO2717",0.05,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO7257",0.05,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO7257",0.06,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO7257",0.07,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO2718",0.01,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO2718",0.01,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO2718",0.03,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO2719",0.04,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO2719",0.06,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO2719",0.1,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3167",0.16,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3167",0.44,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3167",0.43,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO4767",1.53,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO4767",0.24,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO4767",0.32,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5621",0.19,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5621",0.22,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5621",0.24,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5819",0.17,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5819",0.11,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5819",0.09,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO6029",0.44,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO6029",0.29,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO6029",0.35,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5314",1.85,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5314",0.16,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5314",0.44,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5315",1.81,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5315",0.08,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5315",0.17,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5316",0.61,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5316",0.05,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5316",0.06,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5318",1.53,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5318",0.3,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5318",0.56,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5319",0.95,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5319",0.14,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5319",0.26,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5320",1.61,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5320",0.14,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5320",0.42,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5321",1.12,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5321",0.42,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5321",0.74,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1489",0.62,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1489",0.3,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1489",0.33,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3323",0.18,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3323",0.09,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3323",0.1,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO4768",0.38,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO4768",0.32,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO4768",0.37,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5723",0.41,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5723",0.48,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5723",0.47,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1541",0.41,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1541",0.09,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1541",0.14,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO2924",0.87,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO2924",0.33,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO2924",0.34,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3158",1.27,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3158",0.41,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3158",0.44,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3925",0.32,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3925",0.42,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3925",0.71,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3926",0.29,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3926",0.27,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3926",0.4,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1088",1.54,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1088",0.37,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1088",0.49,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1089",2.61,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1089",0.34,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1089",0.47,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO2804",0.33,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO2804",0.17,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO2804",0.17,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3714",0.12,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3714",0.16,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3714",0.15,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO4002",0.22,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO4002",0.19,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO4002",0.31,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO4239",0.36,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO4239",0.27,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO4239",0.33,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO4772",0.27,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO4772",0.21,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO4772",0.46,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5174",0.14,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5174",0.3,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5174",0.31,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5218",0.25,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5218",0.32,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5218",0.38,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5803",0.26,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5803",0.25,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5803",0.18,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO6440",0.14,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO6440",0.2,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO6440",0.41,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO7449",0.43,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO7449",0.02,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO7449",0.04,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO0584",0.19,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO0584",0.22,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO0584",0.33,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO0585",0.14,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO0585",0.19,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO0585",0.2,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO0586",0.45,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO0586",0.43,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO0586",0.5,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO0587",0.46,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO0587",0.88,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO0587",0.48,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO0588",0.37,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO0588",0.4,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO0588",0.22,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1157",0.23,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1157",0.63,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1157",0.93,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1158",0.11,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1158",0.32,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1158",0.34,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1159",0.11,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1159",0.24,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1159",0.29,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1160",0.48,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1160",1.07,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1160",0.8,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1626",0.14,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1626",0.13,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1626",0.13,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1627",0.28,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1627",0.32,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1627",0.39,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1628",0.14,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1628",0.21,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1628",0.21,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1629",0.14,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1629",0.13,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1629",0.13,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO1630",0.15,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO1630",0.17,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO1630",0.16,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO6794",0.09,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO6794",0.2,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO6794",0.22,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO6795",0.15,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO6795",0.27,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO6795",0.35,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO6796",0.29,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO6796",0.36,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO6796",0.44,0,"DohkAvsM145",88,"ohkA_scoe"
