"gene","logFC","FDR","add_variable","time","data_name"
"SCO0001",0.49,1.0966,"DosdRvsM512",24,"osdr_2016"
"SCO0001",1.45,1.0966,"DosdRvsM512",30,"osdr_2016"
"SCO0001",0.91,1.0966,"DosdRvsM512",42,"osdr_2016"
"SCO0001",0.87,1.0966,"DosdRvsM512",36,"osdr_2016"
"SCO0001",1.92,1.0966,"DosdRvsM512",54,"osdr_2016"
"SCO0008",1.69,0.0011,"DosdRvsM512",24,"osdr_2016"
"SCO0008",2.26,0.0011,"DosdRvsM512",30,"osdr_2016"
"SCO0008",2.44,0.0011,"DosdRvsM512",42,"osdr_2016"
"SCO0008",1.84,0.0011,"DosdRvsM512",36,"osdr_2016"
"SCO0008",1.07,0.0011,"DosdRvsM512",54,"osdr_2016"
"SCO0016",2.12,0.4867,"DosdRvsM512",24,"osdr_2016"
"SCO0016",1.16,0.4867,"DosdRvsM512",30,"osdr_2016"
"SCO0016",1.47,0.4867,"DosdRvsM512",42,"osdr_2016"
"SCO0016",0.84,0.4867,"DosdRvsM512",36,"osdr_2016"
"SCO0016",0.77,0.4867,"DosdRvsM512",54,"osdr_2016"
"SCO0036",2.48,0.0818,"DosdRvsM512",24,"osdr_2016"
"SCO0036",1.32,0.0818,"DosdRvsM512",30,"osdr_2016"
"SCO0036",1.35,0.0818,"DosdRvsM512",42,"osdr_2016"
"SCO0036",1.49,0.0818,"DosdRvsM512",36,"osdr_2016"
"SCO0036",1.03,0.0818,"DosdRvsM512",54,"osdr_2016"
"SCO0038",0.65,0.0824,"DosdRvsM512",24,"osdr_2016"
"SCO0038",0.67,0.0824,"DosdRvsM512",30,"osdr_2016"
"SCO0038",0.39,0.0824,"DosdRvsM512",42,"osdr_2016"
"SCO0038",1.07,0.0824,"DosdRvsM512",36,"osdr_2016"
"SCO0038",0.84,0.0824,"DosdRvsM512",54,"osdr_2016"
"SCO0056",0.37,0.2743,"DosdRvsM512",24,"osdr_2016"
"SCO0056",1.95,0.2743,"DosdRvsM512",30,"osdr_2016"
"SCO0056",0.59,0.2743,"DosdRvsM512",42,"osdr_2016"
"SCO0056",1.24,0.2743,"DosdRvsM512",36,"osdr_2016"
"SCO0056",2.26,0.2743,"DosdRvsM512",54,"osdr_2016"
"SCO0057",0.74,0.4548,"DosdRvsM512",24,"osdr_2016"
"SCO0057",1.51,0.4548,"DosdRvsM512",30,"osdr_2016"
"SCO0057",1.02,0.4548,"DosdRvsM512",42,"osdr_2016"
"SCO0057",0.46,0.4548,"DosdRvsM512",36,"osdr_2016"
"SCO0057",1.26,0.4548,"DosdRvsM512",54,"osdr_2016"
"SCO0060",0.99,0.002,"DosdRvsM512",24,"osdr_2016"
"SCO0060",4.07,0.002,"DosdRvsM512",30,"osdr_2016"
"SCO0060",1.58,0.002,"DosdRvsM512",42,"osdr_2016"
"SCO0060",1.04,0.002,"DosdRvsM512",36,"osdr_2016"
"SCO0060",2.63,0.002,"DosdRvsM512",54,"osdr_2016"
"SCO0097",0.41,0.9002,"DosdRvsM512",24,"osdr_2016"
"SCO0097",1.5,0.9002,"DosdRvsM512",30,"osdr_2016"
"SCO0097",1.89,0.9002,"DosdRvsM512",42,"osdr_2016"
"SCO0097",0.82,0.9002,"DosdRvsM512",36,"osdr_2016"
"SCO0097",1.15,0.9002,"DosdRvsM512",54,"osdr_2016"
"SCO0112",0.26,0.228,"DosdRvsM512",24,"osdr_2016"
"SCO0112",1.49,0.228,"DosdRvsM512",30,"osdr_2016"
"SCO0112",0.91,0.228,"DosdRvsM512",42,"osdr_2016"
"SCO0112",1.05,0.228,"DosdRvsM512",36,"osdr_2016"
"SCO0112",1.85,0.228,"DosdRvsM512",54,"osdr_2016"
"SCO0117",1.33,0.15,"DosdRvsM512",24,"osdr_2016"
"SCO0117",0.56,0.15,"DosdRvsM512",30,"osdr_2016"
"SCO0117",0.32,0.15,"DosdRvsM512",42,"osdr_2016"
"SCO0117",0.91,0.15,"DosdRvsM512",36,"osdr_2016"
"SCO0117",0.97,0.15,"DosdRvsM512",54,"osdr_2016"
"SCO0129",2.05,0.0204,"DosdRvsM512",24,"osdr_2016"
"SCO0129",1.59,0.0204,"DosdRvsM512",30,"osdr_2016"
"SCO0129",1.72,0.0204,"DosdRvsM512",42,"osdr_2016"
"SCO0129",1.4,0.0204,"DosdRvsM512",36,"osdr_2016"
"SCO0129",1.17,0.0204,"DosdRvsM512",54,"osdr_2016"
"SCO0146",2.66,0.0314,"DosdRvsM512",24,"osdr_2016"
"SCO0146",1.6,0.0314,"DosdRvsM512",30,"osdr_2016"
"SCO0146",1.14,0.0314,"DosdRvsM512",42,"osdr_2016"
"SCO0146",1.65,0.0314,"DosdRvsM512",36,"osdr_2016"
"SCO0146",1.12,0.0314,"DosdRvsM512",54,"osdr_2016"
"SCO0156",0.73,0.1042,"DosdRvsM512",24,"osdr_2016"
"SCO0156",2.05,0.1042,"DosdRvsM512",30,"osdr_2016"
"SCO0156",1.2,0.1042,"DosdRvsM512",42,"osdr_2016"
"SCO0156",0.75,0.1042,"DosdRvsM512",36,"osdr_2016"
"SCO0156",2.18,0.1042,"DosdRvsM512",54,"osdr_2016"
"SCO0160",0.8,0.1442,"DosdRvsM512",24,"osdr_2016"
"SCO0160",2.19,0.1442,"DosdRvsM512",30,"osdr_2016"
"SCO0160",1.33,0.1442,"DosdRvsM512",42,"osdr_2016"
"SCO0160",0.73,0.1442,"DosdRvsM512",36,"osdr_2016"
"SCO0160",1.91,0.1442,"DosdRvsM512",54,"osdr_2016"
"SCO0162",1.02,0.0187,"DosdRvsM512",24,"osdr_2016"
"SCO0162",1.2,0.0187,"DosdRvsM512",30,"osdr_2016"
"SCO0162",0.46,0.0187,"DosdRvsM512",42,"osdr_2016"
"SCO0162",0.74,0.0187,"DosdRvsM512",36,"osdr_2016"
"SCO0162",0.76,0.0187,"DosdRvsM512",54,"osdr_2016"
"SCO0167",0.72,0.0059,"DosdRvsM512",24,"osdr_2016"
"SCO0167",0.87,0.0059,"DosdRvsM512",30,"osdr_2016"
"SCO0167",0.32,0.0059,"DosdRvsM512",42,"osdr_2016"
"SCO0167",0.66,0.0059,"DosdRvsM512",36,"osdr_2016"
"SCO0167",0.64,0.0059,"DosdRvsM512",54,"osdr_2016"
"SCO0168",0.49,0,"DosdRvsM512",24,"osdr_2016"
"SCO0168",0.9,0,"DosdRvsM512",30,"osdr_2016"
"SCO0168",0.1,0,"DosdRvsM512",42,"osdr_2016"
"SCO0168",0.43,0,"DosdRvsM512",36,"osdr_2016"
"SCO0168",0.54,0,"DosdRvsM512",54,"osdr_2016"
"SCO0169",0.69,0,"DosdRvsM512",24,"osdr_2016"
"SCO0169",0.55,0,"DosdRvsM512",30,"osdr_2016"
"SCO0169",0.13,0,"DosdRvsM512",42,"osdr_2016"
"SCO0169",0.43,0,"DosdRvsM512",36,"osdr_2016"
"SCO0169",0.37,0,"DosdRvsM512",54,"osdr_2016"
"SCO0170",1.12,0.0658,"DosdRvsM512",24,"osdr_2016"
"SCO0170",0.78,0.0658,"DosdRvsM512",30,"osdr_2016"
"SCO0170",0.44,0.0658,"DosdRvsM512",42,"osdr_2016"
"SCO0170",0.83,0.0658,"DosdRvsM512",36,"osdr_2016"
"SCO0170",0.65,0.0658,"DosdRvsM512",54,"osdr_2016"
"SCO0171",1.1,0.2394,"DosdRvsM512",24,"osdr_2016"
"SCO0171",0.98,0.2394,"DosdRvsM512",30,"osdr_2016"
"SCO0171",0.63,0.2394,"DosdRvsM512",42,"osdr_2016"
"SCO0171",0.82,0.2394,"DosdRvsM512",36,"osdr_2016"
"SCO0171",0.81,0.2394,"DosdRvsM512",54,"osdr_2016"
"SCO0172",1.1,0.9469,"DosdRvsM512",24,"osdr_2016"
"SCO0172",2.06,0.9469,"DosdRvsM512",30,"osdr_2016"
"SCO0172",1.46,0.9469,"DosdRvsM512",42,"osdr_2016"
"SCO0172",0.46,0.9469,"DosdRvsM512",36,"osdr_2016"
"SCO0172",1.22,0.9469,"DosdRvsM512",54,"osdr_2016"
"SCO0174",0.75,0.0304,"DosdRvsM512",24,"osdr_2016"
"SCO0174",1.3,0.0304,"DosdRvsM512",30,"osdr_2016"
"SCO0174",0.43,0.0304,"DosdRvsM512",42,"osdr_2016"
"SCO0174",0.72,0.0304,"DosdRvsM512",36,"osdr_2016"
"SCO0174",0.86,0.0304,"DosdRvsM512",54,"osdr_2016"
"SCO0177",0.96,0.0195,"DosdRvsM512",24,"osdr_2016"
"SCO0177",0.82,0.0195,"DosdRvsM512",30,"osdr_2016"
"SCO0177",0.39,0.0195,"DosdRvsM512",42,"osdr_2016"
"SCO0177",0.66,0.0195,"DosdRvsM512",36,"osdr_2016"
"SCO0177",0.63,0.0195,"DosdRvsM512",54,"osdr_2016"
"SCO0181",0.91,0.0068,"DosdRvsM512",24,"osdr_2016"
"SCO0181",0.94,0.0068,"DosdRvsM512",30,"osdr_2016"
"SCO0181",0.39,0.0068,"DosdRvsM512",42,"osdr_2016"
"SCO0181",0.44,0.0068,"DosdRvsM512",36,"osdr_2016"
"SCO0181",0.56,0.0068,"DosdRvsM512",54,"osdr_2016"
"SCO0185",2.57,0,"DosdRvsM512",24,"osdr_2016"
"SCO0185",2.3,0,"DosdRvsM512",30,"osdr_2016"
"SCO0185",0.93,0,"DosdRvsM512",42,"osdr_2016"
"SCO0185",3.38,0,"DosdRvsM512",36,"osdr_2016"
"SCO0185",2.14,0,"DosdRvsM512",54,"osdr_2016"
"SCO0186",2.18,0,"DosdRvsM512",24,"osdr_2016"
"SCO0186",2.82,0,"DosdRvsM512",30,"osdr_2016"
"SCO0186",1.07,0,"DosdRvsM512",42,"osdr_2016"
"SCO0186",3.62,0,"DosdRvsM512",36,"osdr_2016"
"SCO0186",2.69,0,"DosdRvsM512",54,"osdr_2016"
"SCO0187",1.61,6e-04,"DosdRvsM512",24,"osdr_2016"
"SCO0187",2.24,6e-04,"DosdRvsM512",30,"osdr_2016"
"SCO0187",1.2,6e-04,"DosdRvsM512",42,"osdr_2016"
"SCO0187",2.58,6e-04,"DosdRvsM512",36,"osdr_2016"
"SCO0187",2.19,6e-04,"DosdRvsM512",54,"osdr_2016"
"SCO0188",2.24,0,"DosdRvsM512",24,"osdr_2016"
"SCO0188",2.89,0,"DosdRvsM512",30,"osdr_2016"
"SCO0188",1.31,0,"DosdRvsM512",42,"osdr_2016"
"SCO0188",3.43,0,"DosdRvsM512",36,"osdr_2016"
"SCO0188",3.22,0,"DosdRvsM512",54,"osdr_2016"
"SCO0189",2.05,0.0043,"DosdRvsM512",24,"osdr_2016"
"SCO0189",1.42,0.0043,"DosdRvsM512",30,"osdr_2016"
"SCO0189",0.89,0.0043,"DosdRvsM512",42,"osdr_2016"
"SCO0189",2.8,0.0043,"DosdRvsM512",36,"osdr_2016"
"SCO0189",2.01,0.0043,"DosdRvsM512",54,"osdr_2016"
"SCO0190",1.98,0.0033,"DosdRvsM512",24,"osdr_2016"
"SCO0190",1.37,0.0033,"DosdRvsM512",30,"osdr_2016"
"SCO0190",0.87,0.0033,"DosdRvsM512",42,"osdr_2016"
"SCO0190",3.16,0.0033,"DosdRvsM512",36,"osdr_2016"
"SCO0190",1.86,0.0033,"DosdRvsM512",54,"osdr_2016"
"SCO0191",2.8,8e-04,"DosdRvsM512",24,"osdr_2016"
"SCO0191",1.49,8e-04,"DosdRvsM512",30,"osdr_2016"
"SCO0191",0.89,8e-04,"DosdRvsM512",42,"osdr_2016"
"SCO0191",3.04,8e-04,"DosdRvsM512",36,"osdr_2016"
"SCO0191",2.13,8e-04,"DosdRvsM512",54,"osdr_2016"
"SCO0194",1.16,0.1441,"DosdRvsM512",24,"osdr_2016"
"SCO0194",1.92,0.1441,"DosdRvsM512",30,"osdr_2016"
"SCO0194",0.83,0.1441,"DosdRvsM512",42,"osdr_2016"
"SCO0194",2.2,0.1441,"DosdRvsM512",36,"osdr_2016"
"SCO0194",0.86,0.1441,"DosdRvsM512",54,"osdr_2016"
"SCO0195",1.42,0.0097,"DosdRvsM512",24,"osdr_2016"
"SCO0195",2.61,0.0097,"DosdRvsM512",30,"osdr_2016"
"SCO0195",0.99,0.0097,"DosdRvsM512",42,"osdr_2016"
"SCO0195",2.56,0.0097,"DosdRvsM512",36,"osdr_2016"
"SCO0195",1.19,0.0097,"DosdRvsM512",54,"osdr_2016"
"SCO0196",1.82,0.0242,"DosdRvsM512",24,"osdr_2016"
"SCO0196",2.14,0.0242,"DosdRvsM512",30,"osdr_2016"
"SCO0196",0.89,0.0242,"DosdRvsM512",42,"osdr_2016"
"SCO0196",2.03,0.0242,"DosdRvsM512",36,"osdr_2016"
"SCO0196",1.53,0.0242,"DosdRvsM512",54,"osdr_2016"
"SCO0199",0.95,0.0233,"DosdRvsM512",24,"osdr_2016"
"SCO0199",0.93,0.0233,"DosdRvsM512",30,"osdr_2016"
"SCO0199",0.32,0.0233,"DosdRvsM512",42,"osdr_2016"
"SCO0199",0.79,0.0233,"DosdRvsM512",36,"osdr_2016"
"SCO0199",0.64,0.0233,"DosdRvsM512",54,"osdr_2016"
"SCO0200",0.68,0.0029,"DosdRvsM512",24,"osdr_2016"
"SCO0200",0.65,0.0029,"DosdRvsM512",30,"osdr_2016"
"SCO0200",0.25,0.0029,"DosdRvsM512",42,"osdr_2016"
"SCO0200",0.61,0.0029,"DosdRvsM512",36,"osdr_2016"
"SCO0200",0.48,0.0029,"DosdRvsM512",54,"osdr_2016"
"SCO0201",0.64,8e-04,"DosdRvsM512",24,"osdr_2016"
"SCO0201",0.64,8e-04,"DosdRvsM512",30,"osdr_2016"
"SCO0201",0.3,8e-04,"DosdRvsM512",42,"osdr_2016"
"SCO0201",0.46,8e-04,"DosdRvsM512",36,"osdr_2016"
"SCO0201",0.5,8e-04,"DosdRvsM512",54,"osdr_2016"
"SCO0204",0.45,0,"DosdRvsM512",24,"osdr_2016"
"SCO0204",0.45,0,"DosdRvsM512",30,"osdr_2016"
"SCO0204",0.18,0,"DosdRvsM512",42,"osdr_2016"
"SCO0204",0.39,0,"DosdRvsM512",36,"osdr_2016"
"SCO0204",0.34,0,"DosdRvsM512",54,"osdr_2016"
"SCO0214",1.45,0.0083,"DosdRvsM512",24,"osdr_2016"
"SCO0214",0.74,0.0083,"DosdRvsM512",30,"osdr_2016"
"SCO0214",0.33,0.0083,"DosdRvsM512",42,"osdr_2016"
"SCO0214",0.53,0.0083,"DosdRvsM512",36,"osdr_2016"
"SCO0214",0.46,0.0083,"DosdRvsM512",54,"osdr_2016"
"SCO0216",0.72,0.0275,"DosdRvsM512",24,"osdr_2016"
"SCO0216",0.94,0.0275,"DosdRvsM512",30,"osdr_2016"
"SCO0216",0.31,0.0275,"DosdRvsM512",42,"osdr_2016"
"SCO0216",0.66,0.0275,"DosdRvsM512",36,"osdr_2016"
"SCO0216",0.88,0.0275,"DosdRvsM512",54,"osdr_2016"
"SCO0217",0.91,0.2193,"DosdRvsM512",24,"osdr_2016"
"SCO0217",1.01,0.2193,"DosdRvsM512",30,"osdr_2016"
"SCO0217",0.44,0.2193,"DosdRvsM512",42,"osdr_2016"
"SCO0217",0.8,0.2193,"DosdRvsM512",36,"osdr_2016"
