"gene","logFC","FDR","add_variable","data_name","time"
"SCO4440",1.59,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4440",4.639,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4440",4.865,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO0682",4.277,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO0682",4.539,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO0682",4.739,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1756",1.777,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1756",3.927,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1756",4.67,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2492",2.53,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2492",4.822,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2492",4.531,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO0930",0.891,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO0930",4.444,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO0930",4.319,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO0683",3.809,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO0683",4.383,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO0683",4.229,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6165",-1.183,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6165",-0.909,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6165",4.205,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3328",2.098,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3328",3.667,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3328",4.175,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4677",4.252,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4677",4.406,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4677",4.14,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6652",0.782,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6652",4.311,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6652",4.113,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
