gene	start	end	width	strand	logFC	p-value	FDR	add.variable
SCO0644					-2.1	4.2E-05		
SCO1105					2.5	5.5E-08		
SCO1294					2.4	2.4E-04		
SCO1528					2.9	4.7E-04		
SCO1550					-2.2	4.1E-05		
SCO1573					-2.1	7.6E-04		
SCO1611					2.2	9.3E-08		
SCO1612					2.3	1.5E-06		
SCO1613					2.3	8.1E-07		
SCO1700					-2.0	6.6E-04		
SCO1705					2.2	8.1E-04		
SCO1706					2.9	3.3E-05		
SCO1746					3.0	3.4E-07		
SCO2113					-2.9	1.5E-04		
SCO2165					-18.8	1.8E-13		
SCO2166					-39.6	2.0E-20		
SCO2275					2.1	5.3E-04		
SCO2360					-4.0	1.8E-05		
SCO2494					4.0	1.5E-05		
SCO2517					2.4	2.0E-03		
SCO2518					2.5	5.3E-04		
SCO2519					4.7	7.9E-05		
SCO2616					3.0	1.5E-05		
SCO2722					-5.3	5.2E-16		
SCO2723					-6.6	2.4E-23		
SCO2783					-2.1	1.5E-04		
SCO2785					-2.1	1.6E-04		
SCO2967					-2.1	2.0E-04		
SCO2979					2.3	1.5E-04		
SCO2980					2.3	1.4E-04		
SCO3589					-2.2	1.8E-05		
SCO3590					-2.5	9.1E-06		
SCO3592					-3.9	1.1E-04		
SCO3593					-4.2	1.7E-06		
SCO3594					-4.0	1.6E-06		
SCO3595					-4.3	2.3E-07		
SCO3596					-3.6	1.3E-04		
SCO3657					2.9	5.3E-08		
SCO3731					-2.3	8.3E-05		
SCO4002					2.5	1.2E-04		
SCO4011					-2.5	2.4E-08		
SCO4043					-2.0	7.4E-04		
SCO4189					3.0	2.2E-05		
SCO4214					-2.2	5.2E-04		
SCO4224					-2.3	2.0E-04		
SCO4979					3.7	1.5E-04		
SCO5031					-3.1	1.2E-05		
SCO5142					-2.2	1.0E-03		
SCO5207					4.2	2.5E-06		
SCO5232					-2.4	1.3E-04		
SCO5249					3.1	1.4E-09		
SCO5250					2.3	9.0E-04		
SCO5402					-3.4	9.8E-06		
SCO5403					-3.3	3.1E-06		
SCO5404					-3.0	1.1E-05		
SCO5447					5.5	3.2E-15		
SCO5575					-2.0	1.0E-03		
SCO5883					2.5	1.0E-03		
SCO5884					3.3	1.4E-08		
SCO5885					3.9	1.5E-14		
SCO5888					3.4	3.3E-06		
SCO5889					3.7	1.1E-06		
SCO5890					3.0	2.8E-07		
SCO5891					3.0	5.9E-08		
SCO5892					2.8	2.7E-08		
SCO5893					3.3	6.6E-09		
SCO5894					3.1	1.1E-07		
SCO5895					3.5	2.5E-09		
SCO5896					3.2	3.1E-10		
SCO5897					2.5	2.5E-05		
SCO6026					2.4	5.8E-04		
SCO6027					2.6	1.6E-04		
SCO6045					2.7	1.9E-07		
SCO6282					2.8	8.9E-05		
SCO6286					2.1	8.0E-05		
SCO6414					3.2	1.4E-07		
SCO6415					3.3	1.6E-09		
SCO6416					3.1	4.6E-08		
SCO6440					9.9	5.8E-16		
SCO6441					9.8	1.4E-17		
SCO6442					9.4	2.1E-16		
SCO6443					9.4	6.9E-13		
SCO6543					4.0	5.0E-05		
SCO6728					-2.6	4.5E-04		
SCO7229					-2.2	1.0E-03		
SCO7460					-2.3	4.0E-07		
SCO7536					-26.6	1.5E-55		
SCO7612					-2.4	8.7E-08		
