gene	FC	no	FDR	no2	add_variable					
SCO0039	3,22	z	0,00000652	hypothetical protein (HP)	downregulated					
SCO0070	3,16	z	0,000124	hypothetical protein (HP)	downregulated					
SCO0124	1,72	z	0,00791	eicosapentaenoic acid cluster (SM)	downregulated					
SCO0125	2,12	z	0,00111	eicosapentaenoic acid cluster (SM)	downregulated					
SCO0126	1,98	z	0,0000754	eicosapentaenoic acid cluster (SM)	downregulated					
SCO0127	2,29	z	0,000000285	eicosapentaenoic acid cluster (SM)	downregulated					
SCO0224	13,40	z	8,36E-08	conserved hypothetical protein (HP)	downregulated					
SCO0269	3,20	z	0,0000217	lantibiotic cluster (SM)	downregulated					
SCO0270	3,07	z	0,00000374	lantibiotic cluster (SM)	downregulated					
SCO0320	23,70	z	2,81	hypothetical protein (HP)	downregulated					
SCO0321	3,74	z	0,000000238	putative carboxylesterase (O)	downregulated					
SCO0381	21,20	z	3,32	deoxysugar cluster (SM)	downregulated					
SCO0382	16,80	z	5,05	deoxysugar cluster (SM)	downregulated					
SCO0383	14,10	z	8,63	deoxysugar cluster (SM)	downregulated					
SCO0384	15,40	z	8,31	deoxysugar cluster (SM)	downregulated					
SCO0385	15,20	z	1,32	deoxysugar cluster (SM)	downregulated					
SCO0386	13,70	z	5,03	deoxysugar cluster (SM)	downregulated					
SCO0387	13,70	z	7,64	deoxysugar cluster (SM)	downregulated					
SCO0388	15,70	z	7,12	deoxysugar cluster (SM)	downregulated					
SCO0389	11,70	z	1,22	deoxysugar cluster (SM)	downregulated					
SCO1053	3,24	z	0,0000594	hypothetical protein (HP)	downregulated					
SCO1063	3,67	z	0,000000672	putative sugar transport integral membrane protein ABC (MB)	downregulated					
SCO1065	3,67	z	6	putative sugar transport sugar binding protein ABC (T)	downregulated					
SCO1072	3,33	z	0,00000884	hypothetical protein (HP)	downregulated					
SCO1100	3,20	z	1,57	putative integral membrane protein (MB)	downregulated					
SCO1160	3,03	z	0,0000386	putative membrane protein (MB)	downregulated					
SCO1178	22,10	z	3,08	hypothetical protein (HP)	downregulated					
SCO1227	3,35	z	7,38E-08	putative DNA-­?binding protein (RP)	downregulated					
SCO1266	3,11	z	0,0000782	aromatic polyketide (SM)	downregulated					
SCO1281	3,05	z	0,000132	putative oxidoreductase (O)	downregulated					
SCO1356	3,62	z	2,38	secreted iron sulphur protein (S)	downregulated					
SCO1357	3,45	z	1,6E-09	hypothetical protein (HP)	downregulated					
SCO1358	3,07	z	5,37E-08	LysR-­?family transcriptional regulator	downregulated					
SCO1364	5,81	z	1,1	hypothetical protein (HP)	downregulated					
SCO1366	3,38	z	6,17	conserved hypothetical protein (HP)	downregulated					
SCO1367	25,60	z	1,68	ABC transport ATP binding (MB)	downregulated					
SCO1368	16,90	z	1,38	ABC transport (MB)	downregulated					
SCO1369	5,85	z	9,08	two-­?component system sensor kinase HK (RP)	downregulated					
SCO1370	4,58	z	3,85	response regulator. NarL family (RP)	downregulated					
SCO1456	3,40	z	0,000156	hypothetical protein (HP)	downregulated					
SCO1550	8,48	z	2,27	putative small membrane protein (MB)	downregulated					
SCO1573	4,37	z	1,14	putative oxidoreductase membrane protein (MB)	downregulated					
SCO1574	3,27	z	1,11	hypothetical protein (HP)	downregulated					
SCO1575	3,00	z	2,63E-09	putative thiamine biosynthesis lipoprotein precursor (O)	downregulated					
SCO1722	3,17	z	0,0000241	putative membrane protein (MB)	downregulated					
SCO1723	3,40	z	0,0000261	RNA polymerase sigma factor	downregulated					
SCO1740	3,37	z	0,000249	putative membrane protein (MB)	downregulated					
SCO0390	10,90	z	1,02	deoxysugar cluster (SM)	downregulated					
SCO0391	18,80	z	2,23	deoxysugar cluster (SM)	downregulated					
SCO0392	15,20	z	1,04	deoxysugar cluster (SM)	downregulated					
SCO0393	13,90	z	1,46	deoxysugar cluster (SM)	downregulated					
SCO0394	12,30	z	4,74	deoxysugar cluster (SM)	downregulated					
SCO0395	11,10	z	7,61	deoxysugar cluster (SM)	downregulated					
SCO0396	10,20	z	2,13	deoxysugar cluster (SM)	downregulated					
SCO0397	11,10	z	7,31	deoxysugar cluster (SM)	downregulated					
SCO0398	6,80	z	7,58	deoxysugar cluster (SM)	downregulated					
SCO0399	9,83	z	5,68	deoxysugar cluster (SM)	downregulated					
SCO0400	7,75	z	4,26	deoxysugar cluster (SM)	downregulated					
SCO0401	9,66	z	8,87	deoxysugar cluster (SM)	downregulated					
SCO0409	5,64	z	8,74	spore asociated protein (O)	downregulated					
SCO0532	3,08	z	0,0000125	putative sugar transporter membrane protein ABC (MB)	downregulated					
SCO0548	3,37	z	0,000418	putative 3-­?oxoacyl-­?(acyl-­?carrier-­?protein) synthase (O)	downregulated					
SCO0554	3,15	z	0,00000228	putative secreted beta-­?mannosidase (S)	downregulated					
SCO0644	4,13	z	4,7	putative membrane protein MB)	downregulated					
SCO0656	3,39	z	0,00000122	gas vesicle (GV)	downregulated					
SCO0685	3,28	z	0,00000471	hypothetical protein (HP)	downregulated					
SCO0729	3,28	z	9,57	conserved hypothetical protein (HP)	downregulated					
SCO0752	4,47	z	9,62	secreted serin protease (SalO) (S)	downregulated					
SCO0882	3,35	z	0,0000261	hypothetical protein (HP)	downregulated					
SCO0909	3,62	z	8,02	conserved hypothetical protein (HP)	downregulated					
SCO0930	5,49	z	1,55	putative lipoprotein (MB)	downregulated					
SCO0944	4,77	z	4,59	putative membrane protein (MB)	downregulated					
SCO0973	9,18	z	5,58	putative integral membrane protein (MB)	downregulated					
SCO0991	3,34	z	0,000000157	conserved hypothetical protein (HP)	downregulated					
SCO1767	3,87	z	3,77	putative DNA hydrolase (O)	downregulated					
SCO1801	4,59	z	8,86	response regulator. NarL family (RP)	downregulated					
SCO1802	4,14	z	2,25	two-­?component system sensor kinase HK (RP)	downregulated					
SCO1803	54,50	z	0,00000064	oxido reductase (O)	downregulated					
SCO1804	44,10	z	0,000000313	SAM tRNA ribosyl transferase (O)	downregulated					
SCO1839	4,07	z	9,89	putative transcriptional regulator (RP)	downregulated					
SCO1862	5,21	z	7,06	putative integral membrane protein (MB)	downregulated					
SCO1868	4,31	z	3,41	conserved hypothetical protein (HP)	downregulated					
SCO1892	3,12	z	4,68	putative integral membrane efflux protein (MSF-­?MDR) (MD)	downregulated					
