Gene	Average log2 MII24h/MI12h	Average log2 MII48h/MI12h	Average log2 MII72h/MI12h
SCO4440	1,59	4,639	4,865
SCO0682	4,277	4,539	4,739
SCO1756	1,777	3,927	4,67
SCO2492	2,53	4,822	4,531
SCO0930	0,891	4,444	4,319
SCO0683	3,809	4,383	4,229
SCO6165	-1,183	-0,909	4,205
SCO3328	2,098	3,667	4,175
SCO4677	4,252	4,406	4,14
SCO6652	0,782	4,311	4,113
SCO7251	4,079	4,435	4,076
SCO1474	2,791	3,394	3,969
SCO4793	1,741	3,797	3,947
SCO1029	2,011	3,765	3,933
SCO2819	2,175	3,675	3,881
SCO0644	0,559	4,029	3,864
SCO4335	2,127	3,289	3,585
SCO5175	2,411	3,822	3,546
SCO5174	2,227	3,54	3,506
SCO3324	2,74	3,109	3,481
SCO2805	0,833	3,553	3,443
SCO7453	1,507	1,703	3,411
SCO5191	-1,97	2,061	3,316
SCO5351	0,826	2,788	3,305
SCO0684	2,714	3,426	3,292
SCO3134	0,916	2,997	3,213
SCO7253	1,216	3,104	3,174
SCO5834	1,461	3,106	3,173
SCO2302	2,614	3,114	3,168
SCO4173	2,497	2,803	3,157
SCO5177	2,595	3,342	3,038
SCO0944	1,019	3,184	3,02
SCO1860	2,73	3,369	3,003
SCO1835	1,768	2,286	2,966
SCO1375	1,909	2,416	2,873
SCO1432	1,145	2,362	2,866
SCO1629	3,453	3,105	2,84
SCO4920	1,819	2,694	2,812
SCO0932	1,828	3,528	2,784
SCO1673	0,847	1,419	2,511
SCO5864	1,732	1,512	2,497
SCO5827	1,908	2,717	2,489
SCO4411	1,117	2,659	2,483
SCO3195	1,593	2,301	2,475
SCO6795	2,449	3,433	2,469
SCO5176	2,167	2,869	2,458
SCO5249	2,925	3,171	2,443
SCO1174	2,382	2,54	2,398
SCO2404	0,855	2,426	2,339
SCO4883	2,038	2,234	2,303
SCO5511	1,073	2,317	2,298
SCO5390	1,508	1,922	2,277
SCO6797	2,213	3,039	2,172
SCO6079	1,083	1,901	2,131
SCO2035	2,161	2,392	2,119
SCO5444	1,875	1,864	2,116
SCO5391	1,164	1,839	2,113
SCO1838	0,962	2,075	2,079
SCO6211	0,927	2,267	2,078
SCO1823	1,162	3,924	2,075
SCO5029	2,377	2,445	2,027
SCO5100	1,192	2,421	2,018
SCO5442	1,925	2,342	2,014
SCO4239	2,03	2,301	2,007
SCO2908	1,21	2,114	1,955
SCO6209	0,916	2,186	1,946
SCO2008	2,764	2,646	1,874
SCO4581	0,637	2,141	1,858
SCO1480	2,027	1,792	1,763
SCO5398	1,778	2,138	1,722
SCO1822	0,906	2,529	1,629
SCO2927	-0,643	2,247	1,547
SCO2067	2,054	1,123	1,423
SCO6796	1,317	2,386	1,413
SCO7471	3,44	1,181	1,336
SCO3662	2,228	1,696	1,254
SCO5447	0,415	3,094	1,22
SCO7575	0,618	2,047	1,198
SCO2010	2,449	2,171	1,145
SCO2240	2,062	1,49	1,083
SCO5230	1,065	2,004	1,08
SCO6766	2,531	1,089	0,908
SCO1105	3,24	1,78	0,864
SCO7472	3,223	0,78	0,69
SCO3956	-2,73	-1,109	-0,728
SCO6694	-2,081	-1,747	-0,891
SCO4804	-2,222	-1,384	-1,082
SCO4801	-2,047	-1,362	-1,121
SCO3000	-2,55	-1,924	-1,228
SCO2352	-2,556	-1,332	-1,24
SCO1046	-2,342	-2,004	-1,436
SCO1293	2,265	-1,344	-1,498
SCO6262	-2,226	-2,02	-1,561
SCO3351	-2,419	-1,906	-1,571
SCO1966	-2,777	-2,385	-1,869
SCO2730	-3,049	-2,42	-1,874
SCO6086	-2,412	-1,61	-1,902
SCO6341	-2,039	-2,08	-1,917
SCO2205	-3,472	-3,566	-1,928
SCO6101	-1,465	-1,85	-2,014
SCO2848	-1,929	-2,293	-2,036
SCO2950	-1,201	-1,655	-2,049
SCO4852	-1,949	-2,248	-2,058
SCO3793	-1,077	-2,264	-2,087
SCO2911	-2,052	-2,587	-2,134
SCO7016	-0,986	-1,723	-2,142
SCO4005	-2,702	-2,484	-2,142
SCO5494	-3,36	-2,551	-2,159
SCO1557	-1,459	-2,261	-2,307
SCO3166	-2,722	-2,431	-2,307
SCO4641	-2,271	-2,271	-2,483
SCO4020	-1,47	-2,432	-2,486
SCO4248	0,783	-2,491	-2,51
SCO4336	-2,125	-3,294	-2,61
SCO4031	-2,473	-2,977	-2,928
SCO1558	-2,275	-2,844	-2,962
SCO5656	-4,142	-4,338	-3,806
SCO4640	-4,519	-4,525	-4,257
SCO5655	-3,986	-4,396	-4,266
SCO7014	-2,554	-2,968	-4,49
SCO4032	-4,336	-5,078	-5,436
SCO5484	-4,661	-5,234	-5,586
SCO5632	3,193	7,119	7,58
SCO2718	1,134	7,012	7,403
SCO4174	6,091	6,228	6,938
SCO0955	4,117	5,94	6,212
SCO6164	-2,106	-0,988	6,119
SCO6650	1,506	5,87	5,855
SCO6992	1,53	4,666	5,824
SCO2717	3,656	5,472	5,578
SCO3290	1,686	5,711	5,375
SCO1800	5,699	5,349	5,336
SCO3288	1,75	5,656	5,235
SCO5521	2,196	5,418	5,189
SCO2217	0,923	5,051	5,064
SCO3289	1,665	5,199	4,954
SCO4440	1,59	4,639	4,865
SCO4442	4,538	5,328	4,795
SCO1675	5,391	5,192	4,753
SCO0682	4,277	4,539	4,739
SCO1756	1,777	3,927	4,67
SCO6682	3,672	5,285	4,585
SCO2492	2,53	4,822	4,531
SCO5826	3,858	4,662	4,435
SCO6440	1,514	4,049	4,422
SCO1839	2,656	3,825	4,405
SCO1674	3,169	4,386	4,342
SCO6441	1,123	4,076	4,325
