gene	MvsTFC	MvsLFC	MvsSFC	TvsLFC	TvsSFC	LvsSFC						
SCO0026	2,12	1,31	0,59	0,62	0,28	0,45						
SCO0033	62,29	62,35	201,57	1,00	3,24	3,23						
SCO0044	0,46	0,25	0,13	0,55	0,29	0,53						
SCO0055	1,58	1,05	0,44	0,66	0,28	0,42						
SCO0058	1,20	0,78	0,33	0,66	0,28	0,42						
SCO0064	0,96	0,62	1,50	0,65	1,57	2,40						
SCO0065	2,35	2,02	3,14	0,86	1,34	1,56						
SCO0066	1,93	1,17	3,28	0,60	1,70	2,81						
SCO0072	2,36	2,97	2,24	1,26	0,95	0,76						
SCO0075	1,02	1,81	3,12	1,77	3,04	1,72						
SCO0079	1,69	3,62	7,91	2,14	4,69	2,19						
SCO0080	0,71	0,78	2,05	1,10	2,90	2,64						
SCO0084	0,90	1,22	2,16	1,35	2,39	1,77						
SCO0096	1,25	0,60	0,69	0,48	0,55	1,14						
SCO0102	0,84	0,38	0,31	0,45	0,37	0,81						
SCO0103	0,82	0,34	0,24	0,41	0,29	0,72						
SCO0104	0,89	0,35	0,11	0,39	0,13	0,33						
SCO0106	1,42	6,04	4,69	4,25	3,30	0,78						
SCO0107	2,32	4,44	4,86	1,92	2,10	1,09						
SCO0110	1,66	2,02	2,83	1,22	1,71	1,40						
SCO0119	1,18	26,57	4,45	22,45	3,76	0,17						
SCO0120	1,71	11,66	7,09	6,83	4,15	0,61						
SCO0121	1,50	17,17	10,11	11,47	6,75	0,59						
SCO0124	1,35	14,35	14,40	10,64	10,68	1,00						
SCO0126	1,30	8,41	8,13	6,45	6,23	0,97						
SCO0127	0,73	4,46	3,49	6,07	4,75	0,78						
SCO0131	18,29	197,89	210,59	10,82	11,51	1,06						
SCO0132	1,11	1,67	3,76	1,50	3,38	2,25						
SCO0135	1,42	7,21	6,14	5,08	4,33	0,85						
SCO0141	1,73	4,20	18,07	2,42	10,42	4,30						
SCO0147	0,75	0,70	0,46	0,93	0,61	0,66						
SCO0150	0,69	0,59	0,47	0,85	0,68	0,80						
SCO0151	0,65	0,33	0,18	0,51	0,28	0,56						
SCO0152	0,59	0,60	0,24	1,01	0,40	0,40						
SCO0154	1,19	1,01	0,12	0,85	0,10	0,12						
SCO0162	0,82	0,85	8,76	1,03	10,68	10,33						
