Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts wildtype Replicate 1	Raw Counts wildtype Replicate 2	Raw Counts wildtype Replicate 3	Raw Counts wildtype Replicate 4	Normalized Counts wildtype Replicate 1	Normalized Counts wildtype Replicate 2	Normalized Counts wildtype Replicate 3	Normalized Counts wildtype Replicate 4	RPKM wildtype	Expression wildtype	Raw Counts TopA_overexpression Replicate 1	Raw Counts TopA_overexpression Replicate 2	Raw Counts TopA_overexpression Replicate 3	Normalized Counts TopA_overexpression Replicate 1	Normalized Counts TopA_overexpression Replicate 2	Normalized Counts TopA_overexpression Replicate 3	RPKM TopA_overexpression	Expression TopA_overexpression	pValue wildtype vs TopA_overexpression	qValue wildtype vs TopA_overexpression

3778913			3778398	-	-	predicted RNA	antisense: SCO3412	1	2	1	0	3378	3837	3793	1200	2	5	4994	4942	2204	4091255	5437985	4456817	3713	9034	0	0

3779691			3779681	-	-	predicted RNA	-	0	0	0	0	320	965	138	437	17	42	108	78	35	89051	86271	71867	3182	7490	0	0

3779054			3779657	+	-	predicted RNA	antisense: SCO3413	6	9	2	3	12445	16024	6288	6651	6	17	194	196	127	159430	215735	257298	136	349	0	0

3917908			3918076	+	-	predicted RNA	-	0	0	0	0	0	1528	544	0	1	3	38	36	14	31372	40650	29325	83	199	0	0

4622992			4622749	-	-	predicted RNA	-	52	71	49	56	101941	115767	105060	113852	176	447	1	0	1	1189	165	2217	1	4	0	0

4623612			4623434	-	-	predicted RNA	-	209	292	163	198	409183	475351	347568	401079	903	2280	7	5	1	6241	5523	2573	12	26	0	0

5124339			5124095	-	-	predicted RNA	antisense: SCO4699	0	2	0	2	543	3507	2109	4335	4	10	140	80	37	114860	88421	75812	165	379	0	0

8414367			8414345	-	-	predicted RNA	-	0	0	0	0	1582	957	396	939	16	42	21	16	20	17729	18373	40769	410	1114	1,98E-212	5,02E-210

3918009			3917897	-	-	predicted RNA	-	14	22	24	25	29065	36400	52758	50534	145	373	1	3	1	1189	3726	2885	8	23	6,68E-169	1,47E-166

4171793			4171926	+	-	predicted RNA	antisense: SCO3794	15	22	15	13	29288	35757	33643	26458	92	233	3	1	0	3018	1448	1193	6	14	4,17E-155	8,92E-153

5113596			5113632	+	-	predicted RNA	-	23	29	11	7	46247	48362	23818	14699	359	899	389	278	159	318731	306397	321996	3530	8532	2,16E-128	4,00E-126

5119498			5119347	-	-	predicted RNA	antisense: SCO4693	2	2	3	2	4252	4456	7160	4809	13	34	83	57	15	68182	63059	31329	159	356	8,24E-67	1,21E-64

8624177			8623894	-	-	predicted RNA	antisense: SCO7803	27	31	14	12	53344	50993	30731	25741	56	141	403	276	64	330120	303980	131035	407	898	4,33E-54	5,39E-52

5106771			5107043	+	-	predicted RNA	antisense: SCO4675	6	15	10	4	13464	24551	21501	9349	25	63	184	115	31	151330	126733	63398	188	416	9,58E-45	1,11E-42

2859928			2859489	-	-	predicted RNA	antisense: SCO2632	38	41	34	25	74876	67918	72526	51093	59	151	583	377	124	477987	415277	251589	385	867	7,36E-43	8,30E-41

6308599			6308926	+	-	predicted RNA	antisense: SCO5771	9	3	10	3	19192	5180	23125	8028	15	42	118	87	44	97451	96732	89491	120	288	1,72E-42	1,89E-40

8062122			8062134	+	-	predicted RNA	-	0	1	3	2	1698	3233	7507	5070	130	336	0	0	0	324	265	507	10	28	5,32E-36	5,16E-34

5469496			5469268	-	-	predicted RNA	antisense: SCO5033	38	60	13	22	74973	97916	28820	45585	109	269	16	5	5	13534	5988	11960	19	45	2,20E-34	2,01E-32

5127300			5127072	-	-	predicted RNA	antisense: SCO4700	3	0	8	6	7397	1431	16975	12550	15	41	96	62	20	79338	69180	41659	122	276	3,08E-31	2,62E-29

3915079			3915186	+	-	predicted RNA	antisense: SCO3543	2	2	1	2	4931	3660	3050	5488	15	39	54	35	9	44361	39549	18772	143	316	7,20E-31	6,01E-29

6484543			6484484	-	-	predicted RNA	-	5	6	3	6	9979	11117	6407	13712	68	171	0	2	0	274	2222	1068	7	19	1,31E-28	1,00E-26

4805777			4805548	-	-	predicted RNA	antisense: SCO4388	28	31	27	19	54878	51395	57462	38943	86	220	222	263	116	182316	289632	234713	413	1024	8,38E-28	6,08E-26

5458925			5458977	+	-	predicted RNA	-	0	0	1	0	1029	32	4149	1869	12	33	17	13	8	14054	15155	16582	116	287	1,98E-23	1,34E-21

6307779			6307808	+	-	predicted RNA	-	4	5	3	3	7824	9717	7566	6586	104	264	60	49	17	49530	54666	35835	668	1555	3,97E-22	2,63E-20

6484353			6484917	+	-	predicted RNA	-	5124	5941	2083	2507	9999184	9654911	4415271	5062052	5136	12890	1469	1236	489	1203492	1360190	989536	888	2096	2,24E-19	1,38E-17

3208724			3208816	+	-	predicted RNA	-	16	36	28	47	32259	59102	60889	95469	262	665	28	8	5	23072	9333	11799	71	158	3,02E-17	1,72E-15

5123861			5122879	-	-	predicted RNA	antisense: SCO4698 SCO4699	144	187	159	117	281263	305116	337357	237352	115	295	2186	1170	328	1790673	1288145	663407	583	1268	3,21E-16	1,74E-14

2097439			2097356	-	-	predicted RNA	-	1	3	1	1	2475	5277	3585	3618	17	44	24	25	10	20457	28381	21310	115	278	3,78E-16	2,04E-14

3363361			3363448	+	-	predicted RNA	antisense: SCO3071	0	0	1	0	1815	217	3446	1637	7	20	15	10	6	12632	11583	13411	58	142	5,16E-15	2,69E-13

2258047			2258203	+	-	predicted RNA	-	8	5	9	3	16959	9395	19827	6140	32	83	75	35	32	61525	38715	65927	144	352	9,54E-14	4,85E-12

78262			77315	-	-	predicted RNA	antisense: SCO0091	132	168	150	111	257897	273244	319718	225723	111	283	1858	944	276	1522266	1038759	558224	505	1096	1,29E-13	6,53E-12

373992			373025	-	-	predicted RNA	antisense: SCO0368	133	169	151	112	260654	276100	321521	227202	109	280	1869	948	277	1531318	1043801	560931	497	1079	1,77E-13	8,82E-12

4786448			4785481	-	-	predicted RNA	antisense: SCO4370	130	158	137	96	255169	257050	290571	195460	101	257	1674	843	255	1371255	928088	516359	445	969	2,85E-13	1,40E-11

4592467			4593435	+	-	predicted RNA	antisense: SCO4183	134	170	152	112	263071	277443	324036	227835	110	281	1873	951	277	1534490	1046909	561163	497	1081	2,87E-13	1,40E-11

6139894			6140863	+	-	predicted RNA	antisense: SCO5642 SCO5641	134	172	155	117	261566	280886	328562	236673	111	285	1882	954	280	1541775	1050055	567966	499	1085	6,56E-13	3,18E-11

1571943			1570975	-	-	predicted RNA	antisense: SCO1471	138	173	154	112	269934	282398	326532	227863	111	285	1876	952	278	1536839	1048374	563371	498	1083	8,10E-13	3,91E-11

5111884			5111998	+	-	predicted RNA	-	6	9	2	1	12387	16241	5476	2967	32	80	58	39	15	48058	43425	32042	155	358	2,48E-12	1,15E-10

838757			838858	+	-	predicted RNA	-	22	29	36	39	44316	48612	77825	78872	238	611	27	13	7	22511	14867	14729	74	170	5,43E-12	2,47E-10

5103562			5103591	+	-	predicted RNA	antisense: SCO4672	0	1	0	0	1164	1689	425	1041	14	35	12	8	1	10644	8907	3205	117	252	1,59E-11	7,11E-10

5115160			5115044	-	-	predicted RNA	antisense: SCO4685	6	8	4	2	12416	14504	8606	5861	35	88	64	44	10	52669	49015	20705	158	348	5,95E-10	2,47E-08

8623809			8623226	-	-	predicted RNA	antisense: SCO7803	83	107	87	74	163421	174933	186491	149558	113	288	1019	434	123	835093	478618	248704	419	891	1,76E-09	7,15E-08

7691119			7691827	+	-	predicted RNA	antisense: SCO6927	31	40	30	23	61236	65706	65118	48069	33	84	158	120	125	129945	132102	254653	91	242	5,50E-09	2,12E-07

5113411			5113485	+	-	predicted RNA	-	2	3	2	0	5494	5301	4397	1479	21	55	25	22	5	20711	24847	11701	111	254	8,83E-09	3,33E-07

186721			186413	-	-	predicted RNA	antisense: SCO0196	28	30	6	6	55315	49022	13221	12736	42	105	135	95	34	111093	105407	69694	134	308	1,42E-08	5,21E-07

5110305			5110484	+	-	predicted RNA	antisense: SCO4680	10	18	7	6	20716	29434	15113	13861	44	109	88	55	24	72686	60632	49416	146	338	2,22E-08	8,08E-07

5031203			5030690	-	-	predicted RNA	antisense: SCO4607	14	27	27	12	28851	44992	58106	24569	29	76	117	102	57	95900	112739	116305	85	210	4,64E-08	1,64E-06

6370225			6370248	+	-	predicted RNA	-	1	1	5	3	2659	2019	11260	7889	94	248	2	1	0	2257	1338	178	26	52	5,12E-08	1,80E-06

