Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts wildtype Replicate 1	Raw Counts wildtype Replicate 2	Raw Counts wildtype Replicate 3	Raw Counts wildtype Replicate 4	Normalized Counts wildtype Replicate 1	Normalized Counts wildtype Replicate 2	Normalized Counts wildtype Replicate 3	Normalized Counts wildtype Replicate 4	RPKM wildtype	Expression wildtype	Raw Counts TopA_depletion Replicate 1	Raw Counts TopA_depletion Replicate 2	Raw Counts TopA_depletion Replicate 3	Raw Counts TopA_depletion Replicate 4	Normalized Counts TopA_depletion Replicate 1	Normalized Counts TopA_depletion Replicate 2	Normalized Counts TopA_depletion Replicate 3	Normalized Counts TopA_depletion Replicate 4	RPKM TopA_depletion	Expression TopA_depletion	pValue wildtype vs TopA_depletion	qValue wildtype vs TopA_depletion	

78265			77315	-	-	predicted RNA	antisense: SCO0091	132	168	150	111	257926	273300	319768	225723	110	283	7733	7386	1581	1874	7087332	6084729	2376016	2404962	2709	4719	0	0	

373995			372999	-	-	predicted RNA	antisense: SCO0368	134	171	152	112	262032	277885	322878	227230	107	273	7765	7417	1590	1880	7116218	6110071	2389335	2412233	2594	4520	0	0	

838757			838858	+	-	predicted RNA	-	22	29	36	39	44316	48612	77825	78872	238	611	5	2	1	2	4963	1986	2386	2970	16	30	0	0	

2400340			2400269	-	-	predicted RNA	-	17	15	11	13	34540	24833	25255	27490	152	389	0	1	0	1	343	1452	987	1447	7	14	0	0	

2859931			2858933	-	-	predicted RNA	antisense: SCO2632	125	154	131	96	245733	251242	277745	194297	95	242	5797	5502	1238	1455	5313331	4532875	1860139	1866967	1944	3396	0	0	

3452489			3452895	+	-	predicted RNA	antisense: SCO3151	0	2	2	3	1271	3748	4852	6195	3	9	89	98	66	47	82034	81095	99149	61096	105	198	0	0	

3917883			3918149	+	-	predicted RNA	antisense: SCO3543	0	2	0	0	621	3571	1267	0	2	5	90	52	35	38	82721	43459	53171	49267	114	214	0	0	

4479085			4478781	-	-	predicted RNA	antisense: SCO4085	2	0	0	2	5717	820	0	4400	3	8	94	62	23	33	86835	51680	35354	42928	98	177	0	0	

4506952			4506436	-	-	predicted RNA	antisense: SCO4107	9	13	12	6	18745	21768	27176	13964	15	39	409	287	161	168	374826	236464	242658	215912	279	517	0	0	

4592465			4593461	+	-	predicted RNA	antisense: SCO4183	135	171	153	112	264644	279237	325433	227918	107	275	7769	7421	1592	1883	7120242	6113792	2392209	2416158	2596	4524	0	0	

4622966			4622749	-	-	predicted RNA	-	36	50	36	39	70925	81642	77300	78779	139	353	1	2	0	0	1766	1995	68	790	3	5	0	0	

4623612			4623573	-	-	predicted RNA	-	17	25	13	18	33889	41131	28047	36905	346	874	0	0	0	0	305	360	205	269	3	7	0	0	

4786451			4785453	-	-	predicted RNA	antisense: SCO4370	131	159	137	96	256606	258933	292037	195487	98	251	6637	6326	1376	1623	6083151	5211391	2067368	2083331	2216	3865	0	0	

5100036			5099985	-	-	predicted RNA	antisense: SCO4669	0	0	0	0	262	418	0	0	1	3	15	11	3	3	13784	9682	4615	4540	89	156	0	0	

5101663			5101728	+	-	predicted RNA	antisense: SCO4670	0	0	0	0	640	0	0	0	0	2	19	15	2	2	18046	12637	3943	2665	82	141	0	0	

5102016			5102272	+	-	predicted RNA	antisense: SCO4671	3	0	1	1	5950	1045	2248	2549	4	11	99	134	23	26	90759	110853	36033	33442	153	263	0	0	

5102490			5102730	+	-	predicted RNA	antisense: SCO4671	2	0	0	1	4184	1279	386	3879	3	10	66	92	21	21	61261	76397	32700	27249	117	204	0	0	

5102793			5102804	+	-	predicted RNA	antisense: SCO4671	0	0	0	0	116	0	0	111	1	4	2	3	0	0	2124	3249	809	960	87	148	0	0	

5103028			5103373	+	-	predicted RNA	antisense: SCO4672	0	0	0	0	1504	0	1683	0	0	2	125	135	27	18	115173	111511	41670	23546	122	210	0	0	

5103469			5104451	+	-	predicted RNA	antisense: SCO4672	6	12	6	6	12736	20682	12865	12717	6	15	562	610	104	104	515445	503104	156470	134614	194	333	0	0	

5113558			5113627	+	-	predicted RNA	-	19	25	9	5	37666	40793	19778	11126	156	390	760	810	354	391	697331	667807	532075	502325	4667	8569	0	0	

5115160			5114033	-	-	predicted RNA	antisense: SCO4685	22	21	30	12	43753	34245	64553	24913	14	37	954	923	182	199	875180	761077	273588	256022	277	480	0	0	

5116511			5116752	+	-	predicted RNA	antisense: SCO4688	2	4	0	1	4960	7151	0	2493	6	15	195	202	62	53	178869	166835	93244	68232	295	523	0	0	

5127253			5127291	+	-	predicted RNA	-	2	3	7	4	5630	5880	16440	8307	89	232	470	372	80	72	430814	306556	121089	93496	3522	6102	0	0	

5119506			5118993	-	-	predicted RNA	antisense: SCO4693 SCO4692	2	6	5	4	4562	10626	12389	9610	7	18	228	292	64	71	209293	241319	96131	91949	178	310	0	0	

5120746			5120012	-	-	predicted RNA	antisense: SCO4695 SCO4696	3	5	3	0	6212	8905	7071	0	3	7	568	549	105	128	521278	452462	158679	164448	254	441	0	0	

5121940			5121646	-	-	predicted RNA	antisense: SCO4697	2	3	0	2	4300	5494	1861	5405	5	14	200	156	34	28	183647	129042	51251	36653	196	339	0	0	

5124347			5122848	-	-	predicted RNA	antisense: SCO4698 SCO4699	146	191	160	121	285001	311591	341051	244841	77	197	9633	9223	1952	2313	8828242	7597615	2932123	2969053	2137	3721	0	0	

5126369			5125822	-	-	predicted RNA	antisense: SCO4699	1	0	1	1	2358	1069	2763	2995	1	4	324	316	77	88	297226	260336	116692	113627	204	359	0	0	

5127647			5126750	-	-	predicted RNA	antisense: SCO4700 rpsJ	4	16	15	11	9581	26795	33574	24206	10	26	734	559	145	154	673084	461180	218469	198511	245	431	0	0	

6139860			6140891	+	-	predicted RNA	antisense: SCO5642 SCO5641 SCO5640	134	174	156	118	263304	283235	332316	238794	106	270	7813	7447	1610	1896	7160880	6135222	2418791	2433132	2522	4396	0	0	

6308599			6309233	+	-	predicted RNA	antisense: SCO5771	11	4	11	6	21803	7400	25245	12857	10	26	262	246	125	155	240742	202686	187915	199929	175	327	0	0	

6484353			6484917	+	-	predicted RNA	-	5124	5941	2083	2507	9999184	9654911	4415271	5062052	5136	12890	195	228	95	142	178769	187941	143755	183126	165	306	0	0	

8414368			8414345	-	-	predicted RNA	-	0	0	0	0	1582	957	396	948	15	40	27	35	22	29	25230	29485	33653	38282	689	1319	0	0	

8624180			8623210	-	-	predicted RNA	antisense: SCO7803	112	140	104	88	220318	228871	221471	178202	86	218	5152	4843	1002	1188	4721817	3990102	1505623	1524712	1739	3023	0	0	

2398987			2398894	-	-	predicted RNA	-	9	11	9	11	17833	18172	19481	23974	82	211	0	2	1	0	601	1730	2050	755	7	13	2,96E-243	3,38E-241	

6818847			6818639	-	-	predicted RNA	-	36	74	184	123	71798	120255	390521	249055	381	994	50	26	10	11	46704	22009	15602	15086	66	118	3,33E-240	3,76E-238	

3082384			3082547	+	-	predicted RNA	antisense: SCO2822	0	4	0	0	0	6837	1257	1423	6	14	92	39	14	17	85203	32502	21377	22966	138	247	1,87E-233	2,08E-231	

5121073			5121091	+	-	predicted RNA	-	0	0	0	0	757	361	0	0	5	14	10	11	2	2	9674	9723	4176	3515	203	356	8,60E-202	9,10E-200	

5469554			5469268	-	-	predicted RNA	antisense: SCO5033	53	77	18	29	104999	126425	40239	60070	116	288	7	11	4	10	7221	9346	7091	13961	17	32	5,91E-199	6,02E-197	

6484543			6484484	-	-	predicted RNA	-	5	6	3	6	9979	11117	6407	13712	68	171	0	0	0	0	0	496	1234	1054	5	11	5,43E-158	5,23E-156	

5110227			5110704	+	-	predicted RNA	antisense: SCO4680	22	37	14	15	43461	60292	30830	30588	34	86	452	512	142	131	415073	422435	214244	169029	361	638	7,91E-134	7,14E-132	

3305893			3306163	+	-	predicted RNA	antisense: SCO3023	0	1	4	3	0	2847	8804	7805	6	17	95	59	23	28	87561	49395	34565	36577	106	191	1,89E-121	1,67E-119	

1761433			1761655	+	-	predicted RNA	antisense: SCO1647	2	1	0	3	4222	2855	0	6698	6	15	72	63	12	18	66512	52698	18160	23265	103	180	5,75E-116	4,97E-114	

5108133			5108351	+	-	predicted RNA	-	4	0	4	1	8902	1077	8864	3823	9	25	102	79	17	25	94090	65187	25745	32528	141	248	5,80E-103	4,78E-101	

256230			256239	+	-	predicted RNA	-	3	2	0	0	6047	4118	861	1469	124	312	0	0	0	0	95	264	301	128	10	19	1,32E-98	1,07E-96	

2625439			2625599	+	-	predicted RNA	-	8	6	2	1	17503	10168	5942	2167	21	55	82	112	41	61	75547	92880	61806	79282	262	480	1,32E-97	1,03E-95	

4660059			4659712	-	-	predicted RNA	antisense: SCO4250	51	49	41	46	99961	80041	88887	94762	102	261	25	22	4	8	23621	18693	6769	10868	24	43	3,71E-97	2,86E-95	

2482726			2482600	-	-	predicted RNA	antisense: SCO2311	0	0	0	1	1145	1472	1297	2372	4	12	29	21	12	11	26733	17944	18990	15045	83	154	7,68E-92	5,72E-90	

4171793			4171926	+	-	predicted RNA	antisense: SCO3794	15	22	15	13	29288	35757	33643	26458	92	233	6	7	1	1	6309	5774	2770	1546	17	30	2,87E-83	2,05E-81	

1517213			1517347	+	-	predicted RNA	-	33	34	44	32	65372	56149	93800	66517	202	521	525	553	259	295	481724	455662	389445	379528	1709	3159	1,18E-80	8,15E-79	

256445			256461	+	-	predicted RNA	-	3	3	0	0	6863	5518	346	1051	81	202	0	0	0	0	124	194	329	421	7	15	2,06E-64	1,18E-62	

2097440			2097356	-	-	predicted RNA	-	1	3	1	1	2485	5293	3595	3637	17	44	48	43	15	21	44694	36161	23688	26992	213	386	4,30E-62	2,39E-60	

3299426			3299646	+	-	predicted RNA	antisense: SCOr08	62	242	167	120	122046	394312	354580	243213	503	1260	113	145	4	6	103746	119927	7166	8671	167	270	2,16E-61	1,18E-59	

4533003			4532783	-	-	predicted RNA	antisense: rrnA	62	242	167	120	122046	394312	354580	243213	503	1260	113	145	4	6	103746	119927	7166	8671	167	270	2,16E-61	1,18E-59	

6272328			6272108	-	-	predicted RNA	antisense: rrnE	62	242	167	120	122046	394312	354580	243213	503	1260	113	145	4	6	103746	119927	7166	8671	167	270	2,16E-61	1,18E-59	

1471388			1471608	+	-	predicted RNA	antisense: rrnC	62	241	167	120	122046	392800	354580	243213	502	1258	113	145	4	6	103746	119927	7166	8671	167	270	2,64E-61	1,43E-59	

1919267			1919487	+	-	predicted RNA	antisense: rrnB	62	241	167	120	122046	392800	354580	243213	502	1258	113	145	4	6	103746	119927	7166	8671	167	270	2,64E-61	1,43E-59	

