Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	M145	MGM14	qValue	fold	log2
77497			77315	-	-	predicted RNA	antisense: SCO0091	814	1200	0,257760735	0,678333333	-0,559933706
78251			78094	-	-	predicted RNA	antisense: SCO0091	343	410	1	0,836585366	-0,257415333
169582			169561	-	-	predicted RNA	-	827	927	1	0,892125135	-0,164682009
185902			185783	-	-	predicted RNA	antisense: SCO0195	214	237	1	0,902953586	-0,147276262
200602			200635	+	-	predicted RNA	-	575	614	1	0,936482085	-0,0946767
204170			204153	-	-	predicted RNA	-	366	477	1	0,767295597	-0,382145618
249725			249746	+	-	predicted RNA	-	247	284	1	0,86971831	-0,201379888
373227			373040	-	-	predicted RNA	antisense: SCO0368	797	1174	0,275427258	0,678875639	-0,558780779
373981			373824	-	-	predicted RNA	antisense: SCO0368	343	409	1	0,838630807	-0,253892267
647742			647865	+	-	predicted RNA	-	300	262	1	1,145038168	0,195395689
646202			646105	-	-	predicted RNA	antisense: SCO0605	156	228	1	0,684210526	-0,547487795
669659			669920	+	-	predicted RNA	antisense: SCO0627	1222	2477	4,08E-05	0,493338716	-1,019349583
677077			677181	+	-	predicted RNA	-	147	215	1	0,68372093	-0,548520505
744748			744819	+	-	predicted RNA	-	151	222	1	0,68018018	-0,556011127
838754			838858	+	-	predicted RNA	-	445	2137	1,67E-22	0,208235845	-2,263709667
1037876			1038137	+	-	predicted RNA	-	563	470	1	1,19787234	0,260474166
1181982			1182200	+	-	predicted RNA	antisense: SCO1125	96	316	4,22E-05	0,303797468	-1,718818247
1285319			1285375	+	-	predicted RNA	-	299	461	1	0,648590022	-0,624621266
1437587			1437441	-	-	predicted RNA	-	132	399	8,36E-04	0,330827068	-1,595850817
1460734			1460675	-	-	predicted RNA	-	555	1012	0,259997105	0,548418972	-0,866649613
1462076			1462042	-	-	predicted RNA	-	524	536	1	0,97761194	-0,032666189
1471388			1471607	+	-	predicted RNA	antisense: rrnC	1169	309	1,95E-15	3,783171521	1,919596187
1571177			1570990	-	-	predicted RNA	antisense: SCO1471	797	1174	0,275427258	0,678875639	-0,558780779
1571933			1571773	-	-	predicted RNA	antisense: SCO1471	371	422	1	0,879146919	-0,185823812
1578983			1578973	-	-	predicted RNA	-	401	677	1	0,592319055	-0,755553597
1580865			1580854	-	-	predicted RNA	-	1310	1202	1	1,08985025	0,124129916
1581929			1581897	-	-	predicted RNA	-	918	1078	1	0,851576994	-0,231791119
1609836			1609826	-	-	predicted RNA	-	2586	2387	1	1,083368245	0,115523709
1622948			1622717	-	-	predicted RNA	-	402	317	1	1,268138801	0,342712661
1623545			1623475	-	-	predicted RNA	-	401	266	0,561190193	1,507518797	0,592175991
1666748			1666612	-	-	predicted RNA	-	147	234	0,871307974	0,628205128	-0,670692375
1711120			1711009	-	-	predicted RNA	-	3542	3073	1	1,15261959	0,204916445
1737141			1737152	+	-	predicted RNA	-	326	392	1	0,831632653	-0,26598169
