"gene","logFC","FDR","add_variable","start","end","strand"
"vnz_02645",-7.75435545788603,0,"data_bldC",635677,636300,"-"
"vnz_02650",-8.34468745914575,0,"data_bldC",636281,636637,"-"
"vnz_02655",-7.33950345474926,0,"data_bldC",636634,637023,"-"
"vnz_15655",-7.42768224719991,0,"data_bldC",3483556,3484341,"+"
"vnz_18945",-10.1486501558783,0,"data_bldC",4170709,4170915,"+"
"vnz_23860",-9.21031872978785,0,"data_bldC",5191096,5192067,"+"
"vnz_23865",-9.07308223963387,0,"data_bldC",5192055,5192792,"+"
"vnz_24300",-8.06222088912025,0,"data_bldC",5291023,5292438,"+"
"vnz_28910",-9.58172671856685,0,"data_bldC",6370064,6370558,"-"
"vnz_28920",-9.69565227864436,0,"data_bldC",6371031,6372584,"-"
"vnz_28945",-8.11961373877029,0,"data_bldC",6380025,6381305,"+"
"vnz_05365",-4.25966943929185,0,"data_bldC",1251700,1253985,"+"
"vnz_09780",-7.10528514978486,0,"data_bldC",2213664,2214809,"+"
"vnz_27240",-5.93631863328691,0,"data_bldC",5981685,5982173,"+"
"vnz_27245",-6.27994920999933,0,"data_bldC",5982170,5983762,"+"
"vnz_28925",-7.71723876578642,0,"data_bldC",6372821,6375013,"-"
"vnz_02660",-8.02989634378427,0,"data_bldC",637043,638386,"-"
"vnz_06785",-6.97820659295231,0,"data_bldC",1557642,1558424,"+"
"vnz_09010",-3.42885056978562,0,"data_bldC",2049388,2050917,"-"
"vnz_09100",-5.51676937943594,0,"data_bldC",2072844,2074382,"-"
"vnz_12335",-6.84440485808594,0,"data_bldC",2736721,2737440,"+"
"vnz_15675",-2.47946409495875,0,"data_bldC",3488557,3488766,"-"
"vnz_16405",-8.09388986423814,0,"data_bldC",3648759,3649745,"+"
"vnz_16870",-6.92957211909117,0,"data_bldC",3746496,3746816,"-"
"vnz_22970",-5.68558604207166,0,"data_bldC",5003022,5003285,"+"
"vnz_26395",-1.02867010605332,0,"data_bldC",5763874,5764344,"+"
"vnz_27065",-4.86600362413329,0,"data_bldC",5931985,5934375,"+"
"vnz_31910",-3.63374361362362,0,"data_bldC",7059200,7061212,"+"
"vnz_35035",-8.19458397920914,0,"data_bldC",7794030,7795442,"+"
"vnz_07055",-7.00459115161068,0,"data_bldC",1614798,1615043,"-"
"vnz_16995",-5.63864569412842,0,"data_bldC",3770122,3771144,"-"
"vnz_24305",-7.14707172809567,0,"data_bldC",5292539,5293588,"+"
"vnz_24310",-5.98207156947334,0,"data_bldC",5293616,5294191,"-"
"vnz_17000",-5.63125145300053,0,"data_bldC",3771141,3771380,"-"
"vnz_15155",-5.27960527060216,0,"data_bldC",3376789,3377571,"+"
"vnz_28935",-7.45565690249323,0,"data_bldC",6375726,6378926,"-"
"vnz_12340",-6.08535387567966,0,"data_bldC",2737457,2738353,"-"
"vnz_22680",-6.10673878226715,0,"data_bldC",4942163,4943089,"+"
"vnz_05090",-4.92427593882342,0,"data_bldC",1195040,1195735,"+"
"vnz_01270",-9.24143745703819,0,"data_bldC",280031,281158,"+"
"vnz_06210",-7.50036428917751,0,"data_bldC",1435275,1435508,"-"
"vnz_13890",-6.48796411983556,0,"data_bldC",3104343,3105116,"+"
"vnz_16990",-4.86763608756789,0,"data_bldC",3768867,3770102,"-"
"vnz_28905",-8.46323042874398,0,"data_bldC",6366785,6369904,"-"
"vnz_30770",-7.29097227152279,0,"data_bldC",6790887,6791585,"-"
"vnz_20905",-5.29973677209607,0,"data_bldC",4579043,4579486,"+"
"vnz_15150",-6.4466478123856,0,"data_bldC",3375854,3376687,"-"
"vnz_12705",-3.5582326858213,0,"data_bldC",2830986,2831429,"-"
"vnz_09000",-3.6192734949372,0,"data_bldC",2047961,2048761,"-"
"vnz_12745",-6.29323768482437,0,"data_bldC",2839347,2839973,"+"
"vnz_13140",0.327820502686349,0,"data_bldC",2918322,2918813,"+"
"vnz_15660",-5.15608067911901,0,"data_bldC",3484640,3485878,"+"
"vnz_05805",-7.12274952621868,0,"data_bldC",1340303,1341373,"-"
"vnz_18530",-4.82731252191575,0,"data_bldC",4092887,4093708,"+"
"vnz_28115",-5.29669435832837,0,"data_bldC",6168472,6170842,"-"
"vnz_24095",-5.15791708241637,0,"data_bldC",5245901,5247193,"+"
"vnz_19620",-2.8864158124059,0,"data_bldC",4311676,4313283,"+"
"vnz_01280",-8.39687952384003,0,"data_bldC",283605,285791,"+"
"vnz_23650",-7.19213626888506,0,"data_bldC",5147599,5148060,"-"
"vnz_12710",-4.57511004708756,0,"data_bldC",2831656,2832942,"+"
"vnz_15145",-6.06529351953973,0,"data_bldC",3375506,3375706,"+"
"vnz_29850",-5.02455924743689,0,"data_bldC",6573318,6574613,"+"
"vnz_09095",-4.41640876041198,0,"data_bldC",2071393,2072778,"+"
"vnz_27105",-6.18923310582531,0,"data_bldC",5945869,5947704,"+"
"vnz_01265",-7.44479129423649,0,"data_bldC",278304,279797,"-"
"vnz_35485",-6.66440158074274,0,"data_bldC",7911991,7913469,"-"
"vnz_25220",-5.39308709424775,0,"data_bldC",5495407,5496513,"+"
"vnz_28915",-9.69982262876805,0,"data_bldC",6370555,6370995,"-"
"vnz_22000",6.84186561536877,0,"data_bldC",4789622,4790014,"-"
"vnz_28955",-4.31378267632961,0,"data_bldC",6382178,6385315,"+"
"vnz_07930",-4.46822083225786,0,"data_bldC",1807521,1808318,"-"
"vnz_09540",-4.19544102906571,0,"data_bldC",2170043,2170645,"+"
"vnz_00235",-5.82245522261906,0,"data_bldC",52914,54080,"+"
"vnz_07820",-5.41840114699248,0,"data_bldC",1783512,1785644,"+"
"vnz_10690",-4.79558485631653,0,"data_bldC",2358842,2359213,"-"
"vnz_23850",-7.97889818315837,0,"data_bldC",5187857,5189551,"+"
"vnz_28225",-6.32421849716583,0,"data_bldC",6190573,6191283,"-"
"vnz_28875",-7.31707978872628,0,"data_bldC",6360935,6362896,"-"
"vnz_13895",-6.30762118603207,0,"data_bldC",3105116,3105550,"+"
"vnz_13905",-6.33357794335352,0,"data_bldC",3105987,3106832,"-"
"vnz_28195",-6.50799391103979,0,"data_bldC",6186699,6187403,"-"
"vnz_09005",-3.62046922736113,0,"data_bldC",2048758,2049375,"-"
"vnz_15140",-4.74305009244796,0,"data_bldC",3374429,3375289,"+"
"vnz_22685",-3.49021446255983,0,"data_bldC",4943159,4943704,"-"
"vnz_31925",-3.58352171702003,0,"data_bldC",7062004,7062627,"+"
"vnz_21565",4.25465139635196,0,"data_bldC",4719521,4720126,"-"
"vnz_28895",-7.23029717727269,0,"data_bldC",6365461,6366183,"-"
"vnz_28885",-7.80840789284493,0,"data_bldC",6363318,6363635,"-"
"vnz_36055",-5.7876029420529,0,"data_bldC",8041163,8041378,"+"
"vnz_24295",-6.76205633912142,0,"data_bldC",5290181,5290771,"-"
"vnz_28220",-5.20826205051333,0,"data_bldC",6189872,6190576,"-"
"vnz_36040",-4.87477280715412,0,"data_bldC",8039331,8039840,"+"
"vnz_20840",-7.53929901839484,0,"data_bldC",4564408,4565094,"-"
"vnz_24920",-4.85416380712478,0,"data_bldC",5424076,5425110,"-"
"vnz_30460",-3.26554623633366,0,"data_bldC",6721408,6722421,"+"
"vnz_32430",-3.98466732961472,0,"data_bldC",7182113,7182997,"-"
"vnz_22870",-4.29586825873215,0,"data_bldC",4982472,4982879,"-"
"vnz_26535",-3.13034214861367,0,"data_bldC",5797809,5801537,"+"
"vnz_06575",-5.62495432236026,0,"data_bldC",1509265,1510029,"+"
"vnz_19630",-6.15440105910477,0,"data_bldC",4314251,4314661,"-"
"vnz_28275",-5.50634388343729,0,"data_bldC",6201574,6202179,"-"
"vnz_28880",-7.42940319157383,0,"data_bldC",6362896,6363318,"-"
"vnz_03435",-0.61455770716242,0,"data_bldC",829042,829236,"+"
"vnz_22100",-4.05859029500725,0,"data_bldC",4819561,4820676,"-"
"vnz_23145",-3.73999023062036,0,"data_bldC",5039685,5039882,"+"
"vnz_27340",0.396631576295073,0,"data_bldC",6008781,6009746,"+"
"vnz_30265",-3.70396284245743,0,"data_bldC",6670767,6673670,"-"
"vnz_30455",-3.40467823220267,0,"data_bldC",6719994,6721397,"+"
"vnz_35815",-5.86220217006008,0,"data_bldC",7994401,7995234,"+"
"vnz_31920",-3.89031794451647,0,"data_bldC",7061655,7062026,"+"
"vnz_17230",-7.02130825697191,0,"data_bldC",3812053,3812970,"-"
"vnz_28200",-6.02120320506775,0,"data_bldC",6187403,6188101,"-"
"vnz_22960",-5.48724513439197,0,"data_bldC",5001399,5001638,"+"
"vnz_35640",2.31650071244838,0,"data_bldC",7952824,7953624,"+"
"vnz_14045",3.15049562016039,0,"data_bldC",3124429,3124611,"+"
"vnz_20180",-3.86564154167646,0,"data_bldC",4431486,4432400,"-"
"vnz_13900",-6.59421633831834,0,"data_bldC",3105601,3105972,"+"
"vnz_18620",4.37346411329901,0,"data_bldC",4111292,4112137,"-"
"vnz_21560",4.46593373888245,0,"data_bldC",4719135,4719425,"-"
"vnz_22985",-6.57448323224243,0,"data_bldC",5005446,5005721,"+"
"vnz_11590",-4.34061560263108,0,"data_bldC",2561670,2562191,"-"
"vnz_00230",-4.75189911823764,0,"data_bldC",51760,52812,"+"
"vnz_25635",-4.24077066917933,0,"data_bldC",5602856,5605696,"+"
"vnz_28890",-7.9563953351074,0,"data_bldC",6363647,6365464,"-"
"vnz_28940",-6.31797687197541,0,"data_bldC",6379066,6379800,"-"
