Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGP14;qValue;fold;log2(fold)
;9304;10410;;+;-;SCO0006;ATP/GTP-binding protein;1;1;1;1;0
;33360;33845;;+;-;SCO0041;hypothetical protein;1;1;1;1;0
;122456;121617;;-;-;SCO0131;hypothetical protein;1;1;1;1;0
;132327;132647;;+;-;SCO0139;hypothetical protein;1;1;1;1;0
;148216;149184;;+;-;SCO0159;ECF sigma factor;1;1;1;1;0
;380690;377286;;-;-;SCO0370;DNA-binding protein;1;1;1;1;0
;383360;380751;;-;-;SCO0371;hypothetical protein;1;1;1;1;0
;386592;383578;;-;-;SCO0372;hypothetical protein;1;1;1;1;0
;587988;586987;;-;-;SCO0547;acyltransferase;1;1;1;1;0
;589271;587985;;-;-;SCO0548;3-oxoacyl-ACP synthase;1;1;1;1;0
;653165;652881;;-;-;SCO0614;hypothetical protein;1;1;1;1;0
;685095;684409;;-;-;SCO0643;cellulose-binding protein;1;1;1;1;0
;749279;748380;;-;-;SCO0708;branched-chain amino acid ABC transporter;1;1;1;1;0
;750076;749276;;-;-;SCO0709;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;750864;750073;;-;-;SCO0710;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;823299;822061;;-;-;SCO0774;cytochrome P450;1;1;1;1;0
;857139;856126;;-;-;SCO0809;ABC transporter permease;1;1;1;1;0
;922175;921927;;-;-;SCO0876;hypothetical protein;1;1;1;1;0
;936329;935622;;-;-;SCO0890;short chain oxidoreductase;1;1;1;1;0
;999210;997963;;-;-;SCO0949;hypothetical protein;1;1;1;1;0
;1057387;1057749;;+;-;SCO1001;hypothetical protein;1;1;1;1;0
;1108778;1108110;;-;-;SCO1052;regulatory protein;1;1;1;1;0
;1114608;1115573;;+;-;SCO1057;sugar transport integral membrane protein;1;1;1;1;0
;1123006;1120925;;-;-;SCO1062;hydrolase;1;1;1;1;0
;1123960;1123067;;-;-;SCO1063;sugar transport integral membrane protein;1;1;1;1;0
;1124898;1123963;;-;-;SCO1064;sugar transport integral membrane protein;1;1;1;1;0
;1259461;1260606;;+;-;SCO1187;cellulase B;1;1;1;1;0
;1359243;1358281;;-;-;SCO1287;hypothetical protein;1;1;1;1;0
;1359733;1359227;;-;-;SCO1288;hypothetical protein;1;1;1;1;0
;1404566;1403709;;-;-;SCO1328;hypothetical protein;1;1;1;1;0
;1432225;1431662;;-;-;SCO1354;hypothetical protein;1;1;1;1;0
;1433899;1432286;;-;-;SCO1355;serine protease;1;1;1;1;0
;1954383;1954009;;-;-;SCO1823;hypothetical protein;1;1;1;1;0
;2012792;2011647;;-;-;SCO1879;pectinesterase;1;1;1;1;0
;2014193;2012859;;-;-;SCO1880;pectate lyase;1;1;1;1;0
;2019014;2018169;;-;-;SCO1884;hypothetical protein;1;1;1;1;0
;2021993;2021058;;-;-;SCO1887;integral membrane transport protein;1;1;1;1;0
;2033731;2034675;;+;-;SCO1899;integral membrane sugar transport protein;1;1;1;1;0
;2179318;2180595;;+;-;SCO2029;hypothetical protein;1;1;1;1;0
;2181758;2183161;;+;-;SCO2031;hypothetical protein;1;1;1;1;0
;2256540;2257046;;+;-;SCO2099;hypothetical protein;1;1;1;1;0
;2592294;2591230;;-;-;SCO2418;hypothetical protein;1;1;1;1;0
;2605133;2604477;;-;-;SCO2429;hypothetical protein;1;1;1;1;0
;2610760;2609897;;-;-;SCO2432;sugar transporter membrane protein;1;1;1;1;0
;2611698;2610757;;-;-;SCO2433;sugar transporter membrane protein;1;1;1;1;0
;2670982;2671614;;+;-;SCO2480;hypothetical protein;1;1;1;1;0
;2953648;2954337;;+;-;SCO2710;polysaccharide deacetylase;1;1;1;1;0
;3104547;3104452;;-;-;SCO2844;hypothetical protein;1;1;1;1;0
;3541801;3540668;;-;-;SCO3228;glycolate oxidase;1;1;1;1;0
;3590134;3588746;;-;-;SCO3237;hypothetical protein;1;1;1;1;0
;3591306;3590146;;-;-;SCO3238;hypothetical protein;1;1;1;1;0
;3594630;3593755;;-;-;SCO3242;puitative transferase;1;1;1;1;0
;3606979;3606326;;-;-;SCO3256;SpdA protein;1;1;1;1;0
;3881625;3882305;;+;-;SCO3513;hypothetical protein;1;1;1;1;0
;3883874;3885340;;+;-;SCO3515;hypothetical protein;1;1;1;1;0
;3885367;3885819;;+;-;SCO3516;hypothetical protein;1;1;1;1;0
;3887444;3888079;;+;-;SCO3518;hypothetical protein;1;1;1;1;0
;3894467;3894697;;+;-;SCO3527;hypothetical protein;1;1;1;1;0
;3897837;3898616;;+;-;SCO3531;hypothetical protein;1;1;1;1;0
;3899086;3899751;;+;-;SCO3533;hypothetical protein;1;1;1;1;0
;3963576;3963217;;-;-;SCO3584;hypothetical protein;1;1;1;1;0
;4121930;4122688;;+;-;SCO3752;ABC transporter ATP-binding protein;1;1;1;1;0
;4330663;4332021;;+;-;SCO3936;plasmid replication initiator protein;1;1;1;1;0
;4385253;4385477;;+;-;SCO3985;hypothetical protein;1;1;1;1;0
;4798612;4799760;;+;-;SCO4382;acyl CoA dehydrogenase;1;1;1;1;0
;5275682;5276191;;+;-;SCO4843;hypothetical protein;1;1;1;1;0
