"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO0043","32h.DargR.M145",0.033,0,35179,35907,729,"-"
"SCO0043","42h.DargR.M145",1.552,0,35179,35907,729,"-"
"SCO0043","49h.DargR.M145",0.65,0,35179,35907,729,"-"
"SCO0043","56h.DargR.M145",0.156,0,35179,35907,729,"-"
"SCO0043","66h.DargR.M145",0.095,0,35179,35907,729,"-"
"SCO0043","32h.p.BH.DargR.M145",0.999071,0,35179,35907,729,"-"
"SCO0043","42h.p.BH.DargR.M145",0,0,35179,35907,729,"-"
"SCO0043","49h.p.BH.DargR.M145",0.008696,0,35179,35907,729,"-"
"SCO0043","56h.p.BH.DargR.M145",0.71905,0,35179,35907,729,"-"
"SCO0043","66h.p.BH.DargR.M145",0.855517,0,35179,35907,729,"-"
"SCO0053","32h.DargR.M145",-0.139,0,41354,42174,821,"+"
"SCO0053","42h.DargR.M145",-0.465,0,41354,42174,821,"+"
"SCO0053","49h.DargR.M145",-0.502,0,41354,42174,821,"+"
"SCO0053","56h.DargR.M145",-0.361,0,41354,42174,821,"+"
"SCO0053","66h.DargR.M145",-0.083,0,41354,42174,821,"+"
"SCO0053","32h.p.BH.DargR.M145",0.684814,0,41354,42174,821,"+"
"SCO0053","42h.p.BH.DargR.M145",0.002854,0,41354,42174,821,"+"
"SCO0053","49h.p.BH.DargR.M145",0.002136,0,41354,42174,821,"+"
"SCO0053","56h.p.BH.DargR.M145",0.040632,0,41354,42174,821,"+"
"SCO0053","66h.p.BH.DargR.M145",0.770634,0,41354,42174,821,"+"
"SCO0056","32h.DargR.M145",-0.032,0,43768,43857,90,"+"
"SCO0056","42h.DargR.M145",-0.067,0,43768,43857,90,"+"
"SCO0056","49h.DargR.M145",-1.671,0,43768,43857,90,"+"
"SCO0056","56h.DargR.M145",-0.217,0,43768,43857,90,"+"
"SCO0056","66h.DargR.M145",-0.214,0,43768,43857,90,"+"
"SCO0056","32h.p.BH.DargR.M145",0.999071,0,43768,43857,90,"+"
"SCO0056","42h.p.BH.DargR.M145",0.931947,0,43768,43857,90,"+"
"SCO0056","49h.p.BH.DargR.M145",0.004959,0,43768,43857,90,"+"
"SCO0056","56h.p.BH.DargR.M145",0.853064,0,43768,43857,90,"+"
"SCO0056","66h.p.BH.DargR.M145",0.8644,0,43768,43857,90,"+"
"SCO0058","32h.DargR.M145",0.581,0,44253,44975,723,"+"
"SCO0058","42h.DargR.M145",0.453,0,44253,44975,723,"+"
"SCO0058","49h.DargR.M145",0.538,0,44253,44975,723,"+"
"SCO0058","56h.DargR.M145",0.804,0,44253,44975,723,"+"
"SCO0058","66h.DargR.M145",0.918,0,44253,44975,723,"+"
"SCO0058","32h.p.BH.DargR.M145",0.00628,0,44253,44975,723,"+"
"SCO0058","42h.p.BH.DargR.M145",0.017776,0,44253,44975,723,"+"
"SCO0058","49h.p.BH.DargR.M145",0.006606,0,44253,44975,723,"+"
"SCO0058","56h.p.BH.DargR.M145",0.000244,0,44253,44975,723,"+"
"SCO0058","66h.p.BH.DargR.M145",2.4e-05,0,44253,44975,723,"+"
"SCO0064","32h.DargR.M145",-0.382,0,49821,51539,1719,"-"
"SCO0064","42h.DargR.M145",-0.552,0,49821,51539,1719,"-"
"SCO0064","49h.DargR.M145",-0.231,0,49821,51539,1719,"-"
"SCO0064","56h.DargR.M145",-0.188,0,49821,51539,1719,"-"
"SCO0064","66h.DargR.M145",-0.491,0,49821,51539,1719,"-"
"SCO0064","32h.p.BH.DargR.M145",0.127237,0,49821,51539,1719,"-"
"SCO0064","42h.p.BH.DargR.M145",0.006197,0,49821,51539,1719,"-"
"SCO0064","49h.p.BH.DargR.M145",0.249241,0,49821,51539,1719,"-"
"SCO0064","56h.p.BH.DargR.M145",0.553246,0,49821,51539,1719,"-"
"SCO0064","66h.p.BH.DargR.M145",0.017771,0,49821,51539,1719,"-"
"SCO0065","32h.DargR.M145",0.016,0,51831,53144,1314,"+"
"SCO0065","42h.DargR.M145",-0.214,0,51831,53144,1314,"+"
"SCO0065","49h.DargR.M145",-0.789,0,51831,53144,1314,"+"
"SCO0065","56h.DargR.M145",0.154,0,51831,53144,1314,"+"
"SCO0065","66h.DargR.M145",0.006,0,51831,53144,1314,"+"
"SCO0065","32h.p.BH.DargR.M145",0.999071,0,51831,53144,1314,"+"
"SCO0065","42h.p.BH.DargR.M145",0.496627,0,51831,53144,1314,"+"
"SCO0065","49h.p.BH.DargR.M145",0.00594,0,51831,53144,1314,"+"
"SCO0065","56h.p.BH.DargR.M145",0.765273,0,51831,53144,1314,"+"
"SCO0065","66h.p.BH.DargR.M145",0.993225,0,51831,53144,1314,"+"
