"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO4440","MII24hvsMI12h",1.59,0,4862642,4863400,759,"+"
"SCO4440","MII48hvsMI12h",4.639,0,4862642,4863400,759,"+"
"SCO4440","MII72hvsMI12h",4.865,0,4862642,4863400,759,"+"
"SCO0682","MII24hvsMI12h",4.277,0,724639,725013,375,"-"
"SCO0682","MII48hvsMI12h",4.539,0,724639,725013,375,"-"
"SCO0682","MII72hvsMI12h",4.739,0,724639,725013,375,"-"
"SCO1756","MII24hvsMI12h",1.777,0,1877577,1878374,798,"+"
"SCO1756","MII48hvsMI12h",3.927,0,1877577,1878374,798,"+"
"SCO1756","MII72hvsMI12h",4.67,0,1877577,1878374,798,"+"
"SCO2492","MII24hvsMI12h",2.53,0,2682933,2683406,474,"+"
"SCO2492","MII48hvsMI12h",4.822,0,2682933,2683406,474,"+"
"SCO2492","MII72hvsMI12h",4.531,0,2682933,2683406,474,"+"
"SCO0930","MII24hvsMI12h",0.891,0,977491,978444,954,"-"
"SCO0930","MII48hvsMI12h",4.444,0,977491,978444,954,"-"
"SCO0930","MII72hvsMI12h",4.319,0,977491,978444,954,"-"
"SCO0683","MII24hvsMI12h",3.809,0,725056,725580,525,"-"
"SCO0683","MII48hvsMI12h",4.383,0,725056,725580,525,"-"
"SCO0683","MII72hvsMI12h",4.229,0,725056,725580,525,"-"
"SCO6165","MII24hvsMI12h",-1.183,0,6768101,6768478,378,"+"
"SCO6165","MII48hvsMI12h",-0.909,0,6768101,6768478,378,"+"
"SCO6165","MII72hvsMI12h",4.205,0,6768101,6768478,378,"+"
"SCO3328","MII24hvsMI12h",2.098,0,3680056,3680268,213,"-"
"SCO3328","MII48hvsMI12h",3.667,0,3680056,3680268,213,"-"
"SCO3328","MII72hvsMI12h",4.175,0,3680056,3680268,213,"-"
"SCO4677","MII24hvsMI12h",4.252,0,5108377,5108811,435,"-"
"SCO4677","MII48hvsMI12h",4.406,0,5108377,5108811,435,"-"
"SCO4677","MII72hvsMI12h",4.14,0,5108377,5108811,435,"-"
"SCO6652","MII24hvsMI12h",0.782,0,7387290,7388675,1386,"+"
"SCO6652","MII48hvsMI12h",4.311,0,7387290,7388675,1386,"+"
