Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGP10;qValue;fold;log2
;9304;10410;;+;-;SCO0006;ATP/GTP-binding protein;1;1;1;1;0
;11360;11010;;-;-;SCO0008;hypothetical protein;1;1;1;1;0
;15029;14739;;-;-;SCO0013;hypothetical protein;1;1;1;1;0
;22761;22156;;-;-;SCO0022;IS element ATP-binding protein;1;1;1;1;0
;24521;24378;;-;-;SCO0028;hypothetical protein;1;1;1;1;0
;25251;25871;;+;-;SCO0030;hypothetical protein;1;1;1;1;0
;32134;33357;;+;-;SCO0040;glycosyl transferase;1;1;1;1;0
;33842;34777;;+;-;SCO0042;hypothetical protein;1;1;1;1;0
;51539;49821;;-;-;SCO0064;hypothetical protein;1;1;1;1;0
;64605;64925;;+;-;SCO0073;hypothetical protein;1;1;1;1;0
;72139;71648;;-;-;SCO0085;hypothetical protein;1;1;1;1;0
;103628;104989;;+;-;SCO0124;hypothetical protein;1;1;1;1;0
;140299;139703;;-;-;SCO0149;hypothetical protein;1;1;1;1;0
;146603;146980;;+;-;SCO0157;hypothetical protein;1;1;1;1;0
;146977;148206;;+;-;SCO0158;oxidoreductase;1;1;1;1;0
;148216;149184;;+;-;SCO0159;ECF sigma factor;1;1;1;1;0
;150525;150181;;-;-;SCO0161;hypothetical protein;1;1;1;1;0
;170911;172158;;+;-;SCO0183;deoxiribopirymidine photolyase;1;1;1;1;0
;218973;219059;;+;-;SCO0228;hypothetical protein;1;1;1;1;0
;284702;285598;;+;-;SCO0292;sugar ABC-transporter integral membrane protein;1;1;1;1;0
;310378;311727;;+;-;SCO0313;transmembrane transport protein;1;1;1;1;0
;327616;325238;;-;-;SCO0324;hypothetical protein;1;1;1;1;0
;335948;336292;;+;-;SCO0334;hypothetical protein;1;1;1;1;0
;360305;360646;;+;-;SCO0355;hypothetical protein;1;1;1;1;0
;368143;369252;;+;-;SCO0363;hypothetical protein;1;1;1;1;0
;377255;373998;;-;-;SCO0369;hypothetical protein;1;1;1;1;0
;380690;377286;;-;-;SCO0370;DNA-binding protein;1;1;1;1;0
;386592;383578;;-;-;SCO0372;hypothetical protein;1;1;1;1;0
;387750;389519;;+;-;SCO0374;ABC transporter;1;1;1;1;0
;409237;410772;;+;-;SCO0389;lipoprotein;1;1;1;1;0
;410774;412006;;+;-;SCO0390;hypothetical protein;1;1;1;1;0
;419539;420486;;+;-;SCO0398;glycosyl transferase;1;1;1;1;0
;472458;473747;;+;-;SCO0453;solute-binding lipoprotein;1;1;1;1;0
;500780;501412;;+;-;SCO0480;hypothetical protein;1;1;1;1;0
;552094;552351;;+;-;SCO0518;hypothetical protein;1;1;1;1;0
;566007;567626;;+;-;SCO0534;beta-hexosaminidase;1;1;1;1;0
;580913;583459;;+;-;SCO0545;hypothetical protein;1;1;1;1;0
;587988;586987;;-;-;SCO0547;acyltransferase;1;1;1;1;0
;589271;587985;;-;-;SCO0548;3-oxoacyl-ACP synthase;1;1;1;1;0
;607837;606677;;-;-;SCO0564;hypothetical protein;1;1;1;1;0
;653165;652881;;-;-;SCO0614;hypothetical protein;1;1;1;1;0
;669870;667741;;-;-;SCO0627;ATP-utilizing protein;1;1;1;1;0
;685095;684409;;-;-;SCO0643;cellulose-binding protein;1;1;1;1;0
;691320;691832;;+;-;SCO0650;gas vesicle synthesis-like protein;1;1;1;1;0
;691829;692614;;+;-;SCO0651;gas vesicle synthesis protein;1;1;1;1;0
;692619;692897;;+;-;SCO0652;gas vesicle synthesis protein;1;1;1;1;0
;747194;745911;;-;-;SCO0706;lipoprotein;1;1;1;1;0
;749279;748380;;-;-;SCO0708;branched-chain amino acid ABC transporter;1;1;1;1;0
;750076;749276;;-;-;SCO0709;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;750864;750073;;-;-;SCO0710;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;753197;751917;;-;-;SCO0711;hypothetical protein;1;1;1;1;0
;756143;753318;;-;-;SCO0712;transcriptional activator;1;1;1;1;0
;757246;756314;;-;-;SCO0713;lipase;1;1;1;1;0
;796002;794689;;-;-;SCO0752;protease;1;1;1;1;0
;823299;822061;;-;-;SCO0774;cytochrome P450;1;1;1;1;0
;877702;879078;;+;-;SCO0829;serine protease;1;1;1;1;0
;880219;879140;;-;-;SCO0830;penicillin-binding protein;1;1;1;1;0
;926916;927332;;+;-;SCO0880;hypothetical protein;1;1;1;1;0
;936329;935622;;-;-;SCO0890;short chain oxidoreductase;1;1;1;1;0
;939627;941063;;+;-;SCO0894;hypothetical protein;1;1;1;1;0
;999210;997963;;-;-;SCO0949;hypothetical protein;1;1;1;1;0
;1091114;1088547;;-;-;SCO1031;ABC transporter;1;1;1;1;0
;1100772;1099831;;-;-;SCO1044;hypothetical protein;1;1;1;1;0
;1108778;1108110;;-;-;SCO1052;regulatory protein;1;1;1;1;0
;1120834;1119167;;-;-;SCO1061;bifunctional sugar binding protein/sugar hydrolase;1;1;1;1;0
;1123006;1120925;;-;-;SCO1062;hydrolase;1;1;1;1;0
;1123960;1123067;;-;-;SCO1063;sugar transport integral membrane protein;1;1;1;1;0
;1124898;1123963;;-;-;SCO1064;sugar transport integral membrane protein;1;1;1;1;0
;1126256;1124895;;-;-;SCO1065;sugar transport sugar binding protein;1;1;1;1;0
;1158218;1158796;;+;-;SCO1100;hypothetical protein;1;1;1;1;0
;1217655;1217041;;-;-;SCO1157;ATP/GTP binding protein;1;1;1;1;0
;1218137;1217724;;-;-;SCO1158;hypothetical protein;1;1;1;1;0
;1259461;1260606;;+;-;SCO1187;cellulase B;1;1;1;1;0
;1300331;1297131;;-;-;SCO1226;hypothetical protein;1;1;1;1;0
;1342317;1341355;;-;-;SCO1271;3-oxoacyl-ACP synthase;1;1;1;1;0
;1353410;1352088;;-;-;SCO1281;oxidoreductase;1;1;1;1;0
