Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts wildtype Replicate 1	Raw Counts wildtype Replicate 2	Raw Counts wildtype Replicate 3	Raw Counts wildtype Replicate 4	Normalized Counts wildtype Replicate 1	Normalized Counts wildtype Replicate 2	Normalized Counts wildtype Replicate 3	Normalized Counts wildtype Replicate 4	RPKM wildtype	Expression wildtype	Raw Counts novo10 Replicate 1	Raw Counts novo10 Replicate 2	Normalized Counts novo10 Replicate 1	Normalized Counts novo10 Replicate 2	RPKM novo10	Expression novo10	pValue wildtype vs novo10	qValue wildtype vs novo10

3305992			3306273	+	-	predicted RNA	antisense: SCO3023	0	3	3	5	825	6097	7279	11005	8	22	96	32	118318	50187	104	298	6,54E-58	5,34E-54

4527213			4527140	-	-	predicted RNA	antisense: SCO4120	0	0	1	0	0	1190	2297	1237	6	15	22	6	27156	9594	87	248	5,24E-31	6,12E-28

3305327			3305735	+	-	predicted RNA	antisense: SCO3023	7	8	19	7	14357	13820	40299	15489	19	51	147	51	180809	81140	111	320	6,32E-19	3,44E-16

4805778			4805535	-	-	predicted RNA	antisense: SCO4388	28	31	27	19	55062	51701	58254	39361	82	209	264	146	325506	229760	387	1137	8,80E-18	4,23E-15

3933659			3933567	-	-	predicted RNA	-	7	10	12	11	14144	16338	25463	23164	82	212	85	56	105525	88510	352	1043	8,80E-11	2,88E-08

4527984			4527868	-	-	predicted RNA	antisense: SCO4120	2	1	3	3	4514	2316	8121	7396	18	47	35	11	43862	17452	91	262	1,28E-07	2,91E-05

5648458			5648491	+	-	predicted RNA	-	0	0	3	1	1562	1520	6378	3628	36	96	20	8	25370	13179	196	566	1,52E-06	2,62E-04

2258063			2258198	+	-	predicted RNA	-	7	5	8	2	15037	8406	17757	5814	33	86	51	21	63535	33422	123	356	7,87E-06	9,75E-04

7888459			7888538	+	-	predicted RNA	-	1	3	5	3	3106	5775	11835	7284	33	87	24	13	29851	20510	107	314	8,57E-04	0,052635238

3722413			3722125	-	-	predicted RNA	antisense: SCO3364	68	80	62	56	134579	130094	133148	113461	173	442	55	46	67972	73595	81	244	9,11E-04	0,054480603

2258205			2257892	-	-	predicted RNA	antisense: SCO2100	717	896	913	503	1400941	1456117	1936297	1016801	1808	4625	4625	2274	5689128	3565063	5052	14735	0,001697167	0,08560215

4607236			4607159	-	-	predicted RNA	-	3	4	6	3	5980	7963	13102	7684	43	111	23	17	28980	27390	121	361	0,002535157	0,120434702

7632057			7632153	+	-	predicted RNA	antisense: SCO6861	3	7	6	2	7144	11777	13003	4549	37	94	29	14	36038	22658	103	302	0,002692414	0,122972783

5609887			5609876	-	-	predicted RNA	-	0	0	0	0	582	756	1089	586	24	62	4	1	5370	2920	119	345	0,003644928	0,151181254

838754			838858	+	-	predicted RNA	-	22	30	36	39	44578	49022	78310	79393	232	598	164	71	202750	112078	517	1499	0,004977305	0,188284979

4730354			4730165	-	-	predicted RNA	-	14	22	14	21	28851	36449	30464	43911	72	183	19	8	23448	13339	33	96	0,015234854	0,368295842

5888230			5888338	+	-	predicted RNA	antisense: SCO5418	5	7	6	6	11261	12315	13370	13684	45	116	33	15	41372	24608	104	302	0,016186826	0,379511889

4515579			4515723	+	-	predicted RNA	-	6	13	17	8	12678	22114	36357	17620	59	153	42	34	52824	54223	123	369	0,017768782	0,401073803

5071681			5071744	+	-	predicted RNA	-	10	14	23	15	21095	22974	50708	31063	189	491	54	51	66489	81431	382	1155	0,018723221	0,40796651

4439816			4439792	-	-	predicted RNA	-	4	5	0	2	8921	9194	1030	5749	100	248	2	0	2898	1215	28	82	0,022393667	0,448113032

5610098			5610087	-	-	predicted RNA	-	0	0	0	0	485	804	1455	586	27	69	3	1	4796	2538	105	305	0,022729324	0,448602192

3037084			3037105	+	-	predicted RNA	-	3	6	0	1	6261	10634	861	3684	100	243	2	0	2472	1001	27	78	0,025576609	0,480428676

1471388			1471608	+	-	predicted RNA	antisense: rrnC	62	241	167	120	122046	392800	354580	243213	502	1258	212	97	261279	152190	321	935	0,026993316	0,49012894

1919267			1919487	+	-	predicted RNA	antisense: rrnB	62	241	167	120	122046	392800	354580	243213	502	1258	212	97	261279	152190	321	935	0,026993316	0,49012894

3299426			3299646	+	-	predicted RNA	antisense: SCOr08	62	242	167	120	122046	394312	354580	243213	503	1260	212	97	261279	152190	321	935	0,02651291	0,49012894

3688201			3688421	+	-	predicted RNA	antisense: rrnF	62	241	167	120	122046	392800	354580	243213	502	1258	212	97	261279	152190	321	935	0,026993316	0,49012894

4533003			4532783	-	-	predicted RNA	antisense: rrnA	62	242	167	120	122046	394312	354580	243213	503	1260	212	97	261279	152190	321	935	0,02651291	0,49012894

6272328			6272108	-	-	predicted RNA	antisense: rrnE	62	242	167	120	122046	394312	354580	243213	503	1260	212	97	261279	152190	321	935	0,02651291	0,49012894

6245275			6245359	+	-	predicted RNA	-	14	19	15	17	28618	31139	32613	34459	146	373	15	10	19406	16351	71	210	0,030275604	0,509168821

8624166			8624018	-	-	predicted RNA	antisense: SCO7803	23	26	9	8	44888	42892	20570	17629	84	211	51	46	63016	73641	152	458	0,042969108	0,6138122

646208			646101	-	-	predicted RNA	antisense: SCO0605	10	7	11	9	21221	12243	23650	19452	68	177	35	25	43998	40058	130	389	0,049034708	0,629677767

2061252			2061128	-	-	predicted RNA	antisense: SCO1929	7	9	9	13	14542	15927	20530	26383	60	154	41	21	51273	34164	116	341	0,046589445	0,629677767

2301834			2301913	+	-	predicted RNA	-	22	30	14	20	44626	49111	30741	41957	206	520	20	16	24629	26213	106	317	0,046625758	0,629677767

2859917			2859763	-	-	predicted RNA	antisense: SCO2632	24	27	13	12	48296	45153	27938	24346	93	235	59	52	73139	82057	166	500	0,048860262	0,629677767

6749994			6750094	+	-	predicted RNA	-	21	31	15	17	41918	50486	33703	34803	158	398	83	41	103028	65583	285	834	0,048760689	0,629677767

4786437			4786283	-	-	predicted RNA	antisense: SCO4370	25	27	13	11	49917	45153	28919	23667	94	238	59	52	72620	82057	165	498	0,056565899	0,667439002

3740065			3739422	-	-	predicted RNA	antisense: SCO3374	188	188	181	183	368352	306435	383955	369773	216	554	245	214	301854	335907	164	495	0,059375049	0,684278592

3934701			3934890	+	-	predicted RNA	-	86	130	51	48	168905	211865	109032	98595	309	774	258	213	317620	335333	573	1718	0,063667082	0,695313226

37613			37528	-	-	predicted RNA	-	7	5	7	9	13998	8760	15192	19118	64	165	24	20	30525	31786	120	362	0,067594558	0,708096327

4922659			4922747	+	-	predicted RNA	-	7	9	5	5	13658	15799	12320	10763	58	147	27	15	33745	23920	110	323	0,071825771	0,72366014

4389001			4388773	-	-	predicted RNA	-	25	24	27	18	49004	40616	57393	38217	78	202	92	43	113572	67785	136	395	0,074514089	0,731725215

3501300			3501323	+	-	predicted RNA	-	15	17	6	12	29822	28646	13578	25220	402	1013	11	10	13899	16061	207	624	0,077735821	0,741011595

6133153			6133398	+	-	predicted RNA	-	31	50	52	53	60994	82173	112181	108279	144	369	57	46	70309	73266	97	291	0,082947528	0,758125562

7869764			7869836	+	-	predicted RNA	antisense: SCO7080	5	5	4	5	10727	8551	9933	10112	52	134	21	11	26576	17873	104	304	0,08307811	0,758470654

7063630			7063855	+	-	predicted RNA	-	24	24	26	18	48548	40230	56650	37333	78	202	89	42	109932	67189	134	391	0,083483503	0,760472355

6419064			6418926	-	-	predicted RNA	antisense: SCO5861	9	11	17	11	18978	18671	36575	22997	67	174	55	19	68559	30976	124	358	0,085080312	0,769868471

1181989			1182193	+	-	predicted RNA	antisense: SCO1125	9	13	27	25	18726	21985	58958	50525	70	183	56	50	70006	79359	121	364	0,089625708	0,792566729

1437579			1437479	-	-	predicted RNA	-	4	11	8	10	9571	19451	17005	20755	65	165	33	17	41285	26748	115	336	0,099294107	0,819301261

669659			669923	+	-	predicted RNA	antisense: SCO0627	149	214	235	140	292029	349127	499465	282723	524	1342	699	507	860302	795481	1050	3124	0,102314494	0,831025579

1666820			1666564	-	-	predicted RNA	-	18	18	50	31	36802	30158	106615	63894	88	231	93	73	114548	114769	149	446	0,103813925	0,836551854

1046039			1046107	+	-	predicted RNA	-	4	4	6	4	8212	7521	14459	8931	54	141	20	11	24610	17720	104	306	0,11281311	0,861491518

6289123			6289161	+	-	predicted RNA	-	7	6	4	5	13707	10457	8893	10252	108	277	5	4	6903	6765	58	175	0,117169117	0,878338397

6370772			6370022	-	-	predicted RNA	antisense: SCO5821	988	1224	811	831	1928346	1989743	1720719	1677783	960	2435	1433	1079	1763213	1691652	771	2300	0,118954531	0,887650663

677076			677184	+	-	predicted RNA	-	8	9	12	11	17328	14729	27334	22792	72	188	31	25	38844	40493	121	363	0,127590946	0,913901945

3355989			3355965	-	-	predicted RNA	-	3	4	1	2	6154	6540	3991	5954	89	226	2	1	3621	2255	40	117	0,133535287	0,928610068

3033325			3033337	+	-	predicted RNA	-	1	2	0	1	3853	3981	1772	2642	93	235	1	0	1452	1192	34	101	0,138062001	0,938210921

4955476			4955433	-	-	predicted RNA	antisense: SCO4536	1	2	4	3	3116	4392	10022	6847	53	138	11	7	14641	11214	99	293	0,137901275	0,938210921

5705552			5705508	-	-	predicted RNA	-	7	7	7	5	14241	11704	16777	11340	116	300	7	5	9480	8202	66	196	0,138979566	0,93929035

3166287			3166247	-	-	predicted RNA	-	6	7	5	6	11930	11978	12122	13098	117	299	7	4	9307	6872	67	197	0,139707766	0,94265248

5837324			5837418	+	-	predicted RNA	-	26	36	26	40	52014	59954	57215	82649	260	662	85	82	105556	128889	408	1233	0,141693104	0,949699731

5113600			5113627	+	-	predicted RNA	-	18	23	8	5	35909	37567	18401	11108	367	919	14	11	18127	17789	214	641	0,146492872	0,965699392

5140982			5141038	+	-	predicted RNA	-	262	315	249	271	512814	513321	527998	547176	3616	9216	432	404	531959	633896	3391	10226	0,151327381	0,975653846

6325971			6326015	+	-	predicted RNA	-	8	8	5	4	16697	13410	11300	9228	110	281	7	4	9276	7698	63	188	0,154098201	0,985414292

1997273			1997464	+	-	predicted RNA	antisense: SCO1863	15	16	19	21	31200	26441	41923	43604	72	186	21	15	26810	25051	45	135	0,157510593	0,990776793

77497			77318	-	-	predicted RNA	antisense: SCO0091	72	96	72	52	140598	156294	154600	105488	304	773	172	140	212095	219967	400	1200	0,541312078	1

