Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGHM5;qValue;fold;log2(fold)
1656743;;;1656814;+;valg;SCOt07;Val tRNA;28;1;0;28;4,807354922
5107480;;;5107760;+;-;predicted RNA;antisense: SCO4676;260;3;0;86,66666667;6,437405312
5103028;;;5103373;+;-;predicted RNA;antisense: SCO4672;327;3;0;109;6,768184325
5102793;;;5102804;+;-;predicted RNA;antisense: SCO4671;223;5;0;44,6;5,478971805
5102016;;;5102272;+;-;predicted RNA;antisense: SCO4671;392;6;0;65,33333333;6,029747343
5097181;5097181;5098476;;+;-;SCO4667;two-component system sensor kinase;15418;7;0;2202,571429;11,10497309
5100416;;;5101728;+;-;predicted RNA;antisense: SCO4670;1201;9;0;133,4444444;7,060095434
5102490;;;5102730;+;-;predicted RNA;antisense: SCO4671;285;11;0;25,90909091;4,69538649
;5110846;5111655;;+;-;SCO4681;short chain dehydrogenase;297;12;0;24,75;4,62935662
5103469;;;5104451;+;-;predicted RNA;antisense: SCO4672;518;15;0;34,53333333;5,109917692
5108133;;;5108351;+;-;predicted RNA;-;363;16;0;22,6875;4,503825738
5126369;;;5125829;-;-;predicted RNA;antisense: SCO4699;512;17;0;30,11764706;4,912537159
5114884;;;5114033;-;-;predicted RNA;antisense: SCO4685;546;19;0;28,73684211;4,844829627
5106601;;;5107377;+;-;predicted RNA;antisense: SCO4675 SCO4676;672;22;0;30,54545455;4,932885804
5119504;;;5118993;-;-;predicted RNA;antisense: SCO4693 SCO4692;439;26;0;16,88461538;4,077637411
;5099276;5100415;;+;-;SCO4669;hypothetical protein;3550;26;0;136,5384615;7,093163591
;5123855;5126638;5126643;+;-;SCO4699;Rhs protein;614;29;0;21,17241379;4,40411385
5120746;;;5120012;-;-;predicted RNA;antisense: SCO4696 SCO4695;662;36;0;18,38888889;4,200762405
5110227;;;5110704;+;-;predicted RNA;antisense: SCO4680;876;40;0;21,9;4,452858965
5099109;;;5099275;+;-;predicted RNA;-;9307;41;0;227;7,826548487
5106323;5105869;5104850;5104850;-;-;SCO4673;DeoR family transcriptional regulator;751;50;0;15,02;3,908812908
;5098476;5099108;5099108;+;-;SCO4668;two-component system response regulator;18171;63;0;288,4285714;8,172070273
5126644;5126659;5127108;5127293;+;-;SCO4700;hypothetical protein;1252;66;0;18,96969697;4,245624728
5108924;5108924;5109772;;+;-;SCO4678;hypothetical protein;1036;73;0;14,19178082;3,826983729
