"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO0001","DosdRvsM512_24h","0.49",1.0966,446,1123,678,"+"
"SCO0001","DosdRvsM512_30h","1.45",1.0966,446,1123,678,"+"
"SCO0001","DosdRvsM512_42h","0.91",1.0966,446,1123,678,"+"
"SCO0001","DosdRvsM512_36h","0.87",1.0966,446,1123,678,"+"
"SCO0001","DosdRvsM512_54h","1.92",1.0966,446,1123,678,"+"
"SCO0008","DosdRvsM512_24h","1.69",0.0011,11010,11360,351,"-"
"SCO0008","DosdRvsM512_30h","2.26",0.0011,11010,11360,351,"-"
"SCO0008","DosdRvsM512_42h","2.44",0.0011,11010,11360,351,"-"
"SCO0008","DosdRvsM512_36h","1.84",0.0011,11010,11360,351,"-"
"SCO0008","DosdRvsM512_54h","1.07",0.0011,11010,11360,351,"-"
"SCO0016","DosdRvsM512_24h","2.12",0.4867,17715,17918,204,"+"
"SCO0016","DosdRvsM512_30h","1.16",0.4867,17715,17918,204,"+"
"SCO0016","DosdRvsM512_42h","1.47",0.4867,17715,17918,204,"+"
"SCO0016","DosdRvsM512_36h","0.84",0.4867,17715,17918,204,"+"
"SCO0016","DosdRvsM512_54h","0.77",0.4867,17715,17918,204,"+"
"SCO0036","DosdRvsM512_24h","2.48",0.0818,30116,30355,240,"-"
"SCO0036","DosdRvsM512_30h","1.32",0.0818,30116,30355,240,"-"
"SCO0036","DosdRvsM512_42h","1.35",0.0818,30116,30355,240,"-"
"SCO0036","DosdRvsM512_36h","1.49",0.0818,30116,30355,240,"-"
"SCO0036","DosdRvsM512_54h","1.03",0.0818,30116,30355,240,"-"
"SCO0038","DosdRvsM512_24h","0.65",0.0824,31146,31274,129,"-"
"SCO0038","DosdRvsM512_30h","0.67",0.0824,31146,31274,129,"-"
"SCO0038","DosdRvsM512_42h","0.39",0.0824,31146,31274,129,"-"
"SCO0038","DosdRvsM512_36h","1.07",0.0824,31146,31274,129,"-"
"SCO0038","DosdRvsM512_54h","0.84",0.0824,31146,31274,129,"-"
"SCO0056","DosdRvsM512_24h","0.37",0.2743,43768,43857,90,"+"
"SCO0056","DosdRvsM512_30h","1.95",0.2743,43768,43857,90,"+"
"SCO0056","DosdRvsM512_42h","0.59",0.2743,43768,43857,90,"+"
"SCO0056","DosdRvsM512_36h","1.24",0.2743,43768,43857,90,"+"
"SCO0056","DosdRvsM512_54h","2.26",0.2743,43768,43857,90,"+"
"SCO0057","DosdRvsM512_24h","0.74",0.4548,43950,44090,141,"+"
"SCO0057","DosdRvsM512_30h","1.51",0.4548,43950,44090,141,"+"
"SCO0057","DosdRvsM512_42h","1.02",0.4548,43950,44090,141,"+"
"SCO0057","DosdRvsM512_36h","0.46",0.4548,43950,44090,141,"+"
"SCO0057","DosdRvsM512_54h","1.26",0.4548,43950,44090,141,"+"
"SCO0060","DosdRvsM512_24h","0.99",0.002,46064,46201,138,"+"
"SCO0060","DosdRvsM512_30h","4.07",0.002,46064,46201,138,"+"
"SCO0060","DosdRvsM512_42h","1.58",0.002,46064,46201,138,"+"
"SCO0060","DosdRvsM512_36h","1.04",0.002,46064,46201,138,"+"
"SCO0060","DosdRvsM512_54h","2.63",0.002,46064,46201,138,"+"
"SCO0097","DosdRvsM512_24h","0.41",0.9002,80845,81165,321,"-"
"SCO0097","DosdRvsM512_30h","1.5",0.9002,80845,81165,321,"-"
"SCO0097","DosdRvsM512_42h","1.89",0.9002,80845,81165,321,"-"
"SCO0097","DosdRvsM512_36h","0.82",0.9002,80845,81165,321,"-"
"SCO0097","DosdRvsM512_54h","1.15",0.9002,80845,81165,321,"-"
"SCO0112","DosdRvsM512_24h","0.26",0.228,92773,92928,156,"-"
"SCO0112","DosdRvsM512_30h","1.49",0.228,92773,92928,156,"-"
"SCO0112","DosdRvsM512_42h","0.91",0.228,92773,92928,156,"-"
"SCO0112","DosdRvsM512_36h","1.05",0.228,92773,92928,156,"-"
"SCO0112","DosdRvsM512_54h","1.85",0.228,92773,92928,156,"-"
"SCO0117","DosdRvsM512_24h","1.33",0.15,94989,95681,693,"+"
"SCO0117","DosdRvsM512_30h","0.56",0.15,94989,95681,693,"+"
"SCO0117","DosdRvsM512_42h","0.32",0.15,94989,95681,693,"+"
"SCO0117","DosdRvsM512_36h","0.91",0.15,94989,95681,693,"+"
